Txn Date,Value Date,Description,Debit Amount,Credit Amount,Balance
05/01/2023,06/01/2023,NEFT/490431995203/LALITHA DEVI/ICIC0272108/22321896448686,,24000.00,1516890.89
05/01/2023,05/01/2023,UPI/DR/0287489757/GANESH KUMAR/ICIC0272108/ganesh597@okhdfc,5200.00,,1511690.89
05/01/2023,05/01/2023,ATM/WDL/7803943975/SBI ATM JAYANAGAR BLR,7800.00,,1503890.89
06/01/2023,06/01/2023,CHQ NO 819971 CLEARING,49.00,,1503841.89
06/01/2023,06/01/2023,UPI/DR/615419255995/LALITHA DEVI/ICIC0272108/lalitha936@oksbi,999.00,,1502842.89
06/01/2023,06/01/2023,NEFT/373651106967/DEEPA NAIR/ICIC0272108/82480761169132,1680.00,,1501162.89
07/01/2023,07/01/2023,UPI/CR/680996291027/TANVI RAO/ICIC0272108/tanvi453@okhdfc,,500.00,1501662.89
07/01/2023,07/01/2023,NEFT/547298162314/MEENA IYER/ICIC0272108/92236549023853,120.00,,1501542.89
07/01/2023,07/01/2023,CHQ NO 284830 CLEARING,79.00,,1501463.89
08/01/2023,08/01/2023,IMPS/P2P/24545980/HARISH MENON/7903473451,,24000.00,1525463.89
09/01/2023,10/01/2023,UPI/DR/63536053/RAJENDRA PRASAD/ICIC0272108/rajendra22@ybl,449.00,,1525014.89
09/01/2023,09/01/2023,UPI/DR/32417091/MEENA IYER/ICIC0272108/meena546@ybl,850.00,,1524164.89
09/01/2023,09/01/2023,CHQ NO 379646 CLEARING,249.00,,1523915.89
09/01/2023,09/01/2023,NEFT/2997354804/ROHIT SHARMA/ICIC0272108/81629852842384,,11200.00,1535115.89
09/01/2023,09/01/2023,UPI/CR/4294586289/BABU LAL/ICIC0272108/babu511@ybl,,2500.00,1537615.89
09/01/2023,09/01/2023,UPI/DR/67202564/NILESH KULKARNI/ICIC0272108/nilesh10@okhdfc,49.00,,1537566.89
10/01/2023,10/01/2023,IMPS/P2P/2803895337/RAJENDRA PRASAD/7348695284,,11200.00,1548766.89
10/01/2023,10/01/2023,UPI/DR/883371662186/SAVITHA DEVI/ICIC0272108/savitha772@okaxis,999.00,,1547767.89
11/01/2023,11/01/2023,CHQ NO 986411 CLEARING,1680.00,,1546087.89
11/01/2023,12/01/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,11200.00,1557287.89
11/01/2023,12/01/2023,UPI/DR/847144813419/KAVITHA RAO/ICIC0272108/kavitha681@oksbi,449.00,,1556838.89
11/01/2023,12/01/2023,UPI/DR/7940652164/ARCHANA PILLAI/ICIC0272108/archana95@paytm,3499.00,,1553339.89
11/01/2023,11/01/2023,NEFT/1600837010/RAMESH GOWDA/ICIC0272108/34721895654658,3499.00,,1549840.89
11/01/2023,12/01/2023,NEFT/27353600/KAVITHA RAO/ICIC0272108/72396910010699,999.00,,1548841.89
12/01/2023,12/01/2023,UPI/DR/63432200/ARUN SHARMA/ICIC0272108/arun556@okaxis,79.00,,1548762.89
13/01/2023,13/01/2023,NEFT/665512194473/VINAY PATIL/ICIC0272108/18320952930615,699.00,,1548063.89
13/01/2023,13/01/2023,NEFT/2543344644/MOHAN DAS/ICIC0272108/06925012355464,249.00,,1547814.89
13/01/2023,13/01/2023,ATM/WDL/28045512/CANARA ATM MYSURU,699.00,,1547115.89
14/01/2023,14/01/2023,NEFT/32865750/GANESH KUMAR/ICIC0272108/85961645223378,49.00,,1547066.89
14/01/2023,15/01/2023,NEFT/063119385255/USHA RANI/ICIC0272108/80968861451469,310.00,,1546756.89
14/01/2023,14/01/2023,CHQ NO 549238 CLEARING,249.00,,1546507.89
14/01/2023,15/01/2023,NEFT/5571229020/BINDHU NAIR/ICIC0272108/24383957224431,449.00,,1546058.89
14/01/2023,14/01/2023,CHQ NO 154793 CLEARING,2380.00,,1543678.89
15/01/2023,15/01/2023,NEFT/7073465884/MEERA PILLAI/ICIC0272108/02193791956431,,850.00,1544528.89
15/01/2023,15/01/2023,NEFT/92971712/VIKRAM NAIR/ICIC0272108/02392561651397,,850.00,1545378.89
15/01/2023,15/01/2023,UPI/DR/76751968/SHEELA DEVI/ICIC0272108/sheela56@oksbi,249.00,,1545129.89
15/01/2023,15/01/2023,UPI/DR/570560913644/MOHAMMED IRFAN/ICIC0272108/mohammed703@ybl,120.00,,1545009.89
16/01/2023,16/01/2023,CHQ NO 704515 CLEARING,79.00,,1544930.89
16/01/2023,16/01/2023,UPI/DR/8355706169/GEETA DEVI/ICIC0272108/geeta985@oksbi,249.00,,1544681.89
16/01/2023,16/01/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,32000.00,1576681.89
17/01/2023,17/01/2023,NEFT/33952632/ARJUN MEHTA/ICIC0272108/32891650943905,,11200.00,1587881.89
17/01/2023,17/01/2023,UPI/DR/6405289507/RAMESH GOWDA/ICIC0272108/ramesh38@oksbi,310.00,,1587571.89
18/01/2023,18/01/2023,ATM/WDL/169108715090/CANARA ATM MYSURU,249.00,,1587322.89
19/01/2023,20/01/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,24000.00,1611322.89
19/01/2023,19/01/2023,IMPS/P2P/787577324884/MOHAN DAS/7587299071,,11200.00,1622522.89
19/01/2023,19/01/2023,UPI/DR/131059528460/HARISH MENON/ICIC0272108/harish670@paytm,1250.00,,1621272.89
19/01/2023,19/01/2023,IMPS/P2P/050507598222/KAVERI MENON/7940467954,,2500.00,1623772.89
19/01/2023,19/01/2023,UPI/CR/421416074972/MOHAN DAS/ICIC0272108/mohan146@paytm,,7600.00,1631372.89
20/01/2023,20/01/2023,NEFT/8298589249/SANJANA HEGDE/ICIC0272108/14732716622249,,1200.00,1632572.89
20/01/2023,21/01/2023,UPI/DR/3441007039/HARISH MENON/ICIC0272108/harish377@ybl,1250.00,,1631322.89
20/01/2023,20/01/2023,UPI/DR/0320646365/SHEELA DEVI/ICIC0272108/sheela328@okhdfc,49.00,,1631273.89
20/01/2023,20/01/2023,ATM/WDL/47686253/CANARA ATM MYSURU,2380.00,,1628893.89
20/01/2023,21/01/2023,NEFT/06054849/HARISH MENON/ICIC0272108/99869696017947,,32000.00,1660893.89
20/01/2023,20/01/2023,ATM/WDL/489740486326/CANARA ATM MYSURU,79.00,,1660814.89
20/01/2023,20/01/2023,NEFT/51334287/DIVYA MENON/ICIC0272108/19022446417927,249.00,,1660565.89
21/01/2023,21/01/2023,UPI/CR/6398187573/KAVERI MENON/ICIC0272108/kaveri326@ybl,,32000.00,1692565.89
21/01/2023,21/01/2023,CHQ NO 090520 CLEARING,850.00,,1691715.89
21/01/2023,22/01/2023,UPI/CR/2713004848/TANVI RAO/ICIC0272108/tanvi276@ybl,,11200.00,1702915.89
21/01/2023,21/01/2023,ATM/WDL/759094994960/CANARA ATM MYSURU,120.00,,1702795.89
22/01/2023,22/01/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,500.00,1703295.89
22/01/2023,22/01/2023,CHQ NO 921307 CLEARING,699.00,,1702596.89
22/01/2023,23/01/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,1200.00,1703796.89
23/01/2023,24/01/2023,UPI/DR/2156426409/RESHMA KHAN/ICIC0272108/reshma787@okhdfc,49.00,,1703747.89
23/01/2023,23/01/2023,UPI/DR/23266667/RAJENDRA PRASAD/ICIC0272108/rajendra699@okaxis,999.00,,1702748.89
23/01/2023,23/01/2023,ATM/WDL/9674844933/HDFC ATM KORAMANGALA,49.00,,1702699.89
23/01/2023,23/01/2023,UPI/DR/20128390/VINAY PATIL/ICIC0272108/vinay129@oksbi,999.00,,1701700.89
24/01/2023,24/01/2023,UPI/DR/12808381/HARISH MENON/ICIC0272108/harish548@oksbi,850.00,,1700850.89
25/01/2023,25/01/2023,UPI/CR/045646358709/SHAHID KHAN/ICIC0272108/shahid946@paytm,,32000.00,1732850.89
25/01/2023,26/01/2023,ATM/WDL/948696350978/SBI ATM JAYANAGAR BLR,79.00,,1732771.89
27/01/2023,27/01/2023,UPI/CR/771598288709/DEEPAK JOSHI/ICIC0272108/deepak809@okhdfc,,32000.00,1764771.89
27/01/2023,27/01/2023,IMPS/P2P/77903217/RAJESH VERMA/8128290320,,32000.00,1796771.89
27/01/2023,27/01/2023,NEFT/74883198/LALITHA DEVI/ICIC0272108/80562590434393,310.00,,1796461.89
28/01/2023,28/01/2023,NEFT/46894010/LATHA MURTHY/ICIC0272108/11138379318627,,1200.00,1797661.89
29/01/2023,29/01/2023,ATM/WDL/53011639/CANARA ATM MYSURU,699.00,,1796962.89
29/01/2023,30/01/2023,UPI/DR/6995616157/FATIMA SHEIKH/ICIC0272108/fatima354@ybl,249.00,,1796713.89
30/01/2023,30/01/2023,UPI/DR/7474830442/SURESH BABU/ICIC0272108/suresh271@okaxis,249.00,,1796464.89
31/01/2023,31/01/2023,UPI/DR/20521401/CHANDAN SHARMA/ICIC0272108/chandan512@paytm,79.00,,1796385.89
31/01/2023,01/02/2023,CHQ NO 429460 CLEARING,699.00,,1795686.89
31/01/2023,31/01/2023,UPI/DR/590541199798/SNEHA PATIL/ICIC0272108/sneha855@okhdfc,2380.00,,1793306.89
31/01/2023,31/01/2023,IMPS/P2P/83332873/KARTHIK MENON/7575961887,,2500.00,1795806.89
31/01/2023,31/01/2023,UPI/DR/261358538167/GOPAL VERMA/ICIC0272108/gopal838@oksbi,1680.00,,1794126.89
01/02/2023,01/02/2023,UPI/DR/565684055921/GEETA DEVI/ICIC0272108/geeta116@okhdfc,310.00,,1793816.89
01/02/2023,01/02/2023,CHQ NO 207332 CLEARING,999.00,,1792817.89
01/02/2023,02/02/2023,ATM/WDL/1065678658/HDFC ATM KORAMANGALA,3499.00,,1789318.89
02/02/2023,02/02/2023,CHQ NO 382199 CLEARING,249.00,,1789069.89
02/02/2023,02/02/2023,NEFT/118060959698/PADMA RAO/ICIC0272108/57144633708503,,7600.00,1796669.89
02/02/2023,03/02/2023,ATM/WDL/36350476/CANARA ATM MYSURU,1680.00,,1794989.89
02/02/2023,02/02/2023,UPI/CR/30172979/FATIMA SHEIKH/ICIC0272108/fatima902@paytm,,1200.00,1796189.89
03/02/2023,03/02/2023,IMPS/P2P/6734191232/NAVEEN KUMAR/9400451997,,11200.00,1807389.89
03/02/2023,03/02/2023,IMPS/P2P/036831771724/SHAHID KHAN/8718052138,,11200.00,1818589.89
03/02/2023,03/02/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,24000.00,1842589.89
03/02/2023,04/02/2023,ATM/WDL/720811849454/HDFC ATM KORAMANGALA,249.00,,1842340.89
03/02/2023,03/02/2023,UPI/DR/20826640/KAVITHA RAO/ICIC0272108/kavitha282@paytm,79.00,,1842261.89
03/02/2023,03/02/2023,CHQ NO 478651 CLEARING,310.00,,1841951.89
04/02/2023,05/02/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,850.00,1842801.89
04/02/2023,04/02/2023,NEFT/44006205/RAJENDRA PRASAD/ICIC0272108/36721124331161,699.00,,1842102.89
04/02/2023,04/02/2023,IMPS/P2P/249900887011/HARISH MENON/8905392389,,7600.00,1849702.89
04/02/2023,05/02/2023,CHQ NO 434483 CLEARING,49.00,,1849653.89
05/02/2023,05/02/2023,UPI/DR/8800171677/SHAHID KHAN/ICIC0272108/shahid658@ybl,699.00,,1848954.89
06/02/2023,06/02/2023,UPI/CR/571750244217/KAVERI MENON/ICIC0272108/kaveri779@okaxis,,7600.00,1856554.89
06/02/2023,06/02/2023,NEFT/628892216249/MEERA PILLAI/ICIC0272108/72739139135197,79.00,,1856475.89
06/02/2023,06/02/2023,CHQ NO 172896 CLEARING,79.00,,1856396.89
06/02/2023,06/02/2023,NEFT/42595694/MOHAMMED IRFAN/ICIC0272108/14228573907687,,500.00,1856896.89
06/02/2023,06/02/2023,UPI/DR/722123124854/PRIYA NAIR/ICIC0272108/priya297@okhdfc,120.00,,1856776.89
07/02/2023,07/02/2023,CHQ NO 380711 CLEARING,249.00,,1856527.89
07/02/2023,08/02/2023,NEFT/449350874863/RAMESH PILLAI/ICIC0272108/86608292207497,850.00,,1855677.89
08/02/2023,09/02/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,850.00,1856527.89
08/02/2023,08/02/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,1200.00,1857727.89
08/02/2023,08/02/2023,NEFT/785499526672/SUSHMA RAO/ICIC0272108/78371736330550,2380.00,,1855347.89
09/02/2023,09/02/2023,UPI/DR/57382014/DEEPA NAIR/ICIC0272108/deepa73@okhdfc,249.00,,1855098.89
09/02/2023,10/02/2023,UPI/DR/245414552481/PRIYA NAIR/ICIC0272108/priya240@ybl,5200.00,,1849898.89
09/02/2023,10/02/2023,UPI/CR/1960274280/TANVI RAO/ICIC0272108/tanvi571@paytm,,850.00,1850748.89
09/02/2023,09/02/2023,UPI/DR/150176495852/KAVERI MENON/ICIC0272108/kaveri918@oksbi,1680.00,,1849068.89
10/02/2023,10/02/2023,UPI/DR/602057265082/SURESH BABU/ICIC0272108/suresh232@paytm,699.00,,1848369.89
10/02/2023,11/02/2023,IMPS/P2P/622207013976/KAVERI MENON/7681558371,,500.00,1848869.89
10/02/2023,10/02/2023,UPI/DR/17373208/SUSHMA RAO/ICIC0272108/sushma770@paytm,7800.00,,1841069.89
10/02/2023,10/02/2023,CHQ NO 227153 CLEARING,249.00,,1840820.89
11/02/2023,11/02/2023,UPI/DR/357657323902/CHANDAN SHARMA/ICIC0272108/chandan749@ybl,1250.00,,1839570.89
11/02/2023,11/02/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,11200.00,1850770.89
12/02/2023,13/02/2023,UPI/DR/68444330/PADMA RAO/ICIC0272108/padma218@ybl,5200.00,,1845570.89
13/02/2023,13/02/2023,UPI/DR/7750577066/TANVI RAO/ICIC0272108/tanvi693@paytm,249.00,,1845321.89
13/02/2023,13/02/2023,CHQ NO 725691 CLEARING,3499.00,,1841822.89
13/02/2023,14/02/2023,NEFT/05437910/LALITHA DEVI/ICIC0272108/31086652349399,,24000.00,1865822.89
13/02/2023,13/02/2023,UPI/DR/865304072393/ARCHANA PILLAI/ICIC0272108/archana224@okhdfc,3499.00,,1862323.89
14/02/2023,14/02/2023,UPI/DR/597256873832/GEETA DEVI/ICIC0272108/geeta229@oksbi,1250.00,,1861073.89
14/02/2023,14/02/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,2500.00,1863573.89
15/02/2023,16/02/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,24000.00,1887573.89
15/02/2023,15/02/2023,IMPS/P2P/19610146/KAVERI MENON/7356312908,,2500.00,1890073.89
16/02/2023,16/02/2023,UPI/DR/797998082726/DEEPAK JOSHI/ICIC0272108/deepak448@oksbi,79.00,,1889994.89
16/02/2023,16/02/2023,NEFT/251013347931/SHAHID KHAN/ICIC0272108/89204897908773,699.00,,1889295.89
17/02/2023,17/02/2023,UPI/DR/2831184690/SUNIL YADAV/ICIC0272108/sunil866@oksbi,449.00,,1888846.89
17/02/2023,17/02/2023,UPI/DR/67139039/TANVI RAO/ICIC0272108/tanvi784@oksbi,699.00,,1888147.89
17/02/2023,17/02/2023,UPI/DR/91205945/SMITHA PILLAI/ICIC0272108/smitha450@okaxis,1680.00,,1886467.89
17/02/2023,18/02/2023,NEFT/690514379983/LALITHA DEVI/ICIC0272108/22714526565175,,32000.00,1918467.89
18/02/2023,18/02/2023,NEFT/33255839/TANVI RAO/ICIC0272108/51248932071188,449.00,,1918018.89
19/02/2023,19/02/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,1200.00,1919218.89
19/02/2023,19/02/2023,ATM/WDL/324406141865/HDFC ATM KORAMANGALA,49.00,,1919169.89
19/02/2023,20/02/2023,NEFT/55757110/NILESH KULKARNI/ICIC0272108/50223959168830,7800.00,,1911369.89
19/02/2023,19/02/2023,UPI/DR/0540558923/KARTHIK MENON/ICIC0272108/karthik32@paytm,1250.00,,1910119.89
19/02/2023,19/02/2023,CHQ NO 624229 CLEARING,3499.00,,1906620.89
20/02/2023,20/02/2023,ATM/WDL/8250859156/HDFC ATM KORAMANGALA,1250.00,,1905370.89
20/02/2023,21/02/2023,UPI/CR/848467421194/POOJA SHARMA/ICIC0272108/pooja125@okaxis,,1200.00,1906570.89
21/02/2023,21/02/2023,ATM/WDL/08783439/CANARA ATM MYSURU,850.00,,1905720.89
21/02/2023,21/02/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,11200.00,1916920.89
21/02/2023,21/02/2023,UPI/DR/3670846774/VINAY PATIL/ICIC0272108/vinay684@paytm,310.00,,1916610.89
21/02/2023,21/02/2023,ATM/WDL/7708763744/HDFC ATM KORAMANGALA,79.00,,1916531.89
22/02/2023,23/02/2023,IMPS/P2P/75500461/GANESH KUMAR/7295137968,,7600.00,1924131.89
22/02/2023,22/02/2023,UPI/CR/1378668726/REKHA PILLAI/ICIC0272108/rekha471@ybl,,11200.00,1935331.89
23/02/2023,23/02/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,11200.00,1946531.89
23/02/2023,23/02/2023,IMPS/P2P/7651074005/FARHAN KHAN/8618043067,,11200.00,1957731.89
23/02/2023,23/02/2023,NEFT/29062025/NIKHIL GUPTA/ICIC0272108/21258667940973,449.00,,1957282.89
24/02/2023,24/02/2023,UPI/CR/0378319011/BABU LAL/ICIC0272108/babu793@okaxis,,850.00,1958132.89
25/02/2023,25/02/2023,CHQ NO 389321 CLEARING,49.00,,1958083.89
25/02/2023,25/02/2023,NEFT/853606424431/BABU LAL/ICIC0272108/26151800338309,,4800.00,1962883.89
25/02/2023,25/02/2023,NEFT/77670285/SHEELA DEVI/ICIC0272108/74138608391810,79.00,,1962804.89
25/02/2023,25/02/2023,UPI/CR/34067001/KARTHIK MENON/ICIC0272108/karthik902@paytm,,24000.00,1986804.89
26/02/2023,27/02/2023,UPI/DR/52513724/GOPAL VERMA/ICIC0272108/gopal979@ybl,1680.00,,1985124.89
26/02/2023,26/02/2023,UPI/DR/9144135774/VIKRAM NAIR/ICIC0272108/vikram328@oksbi,310.00,,1984814.89
26/02/2023,26/02/2023,UPI/DR/94602503/SHEELA DEVI/ICIC0272108/sheela974@paytm,850.00,,1983964.89
27/02/2023,27/02/2023,IMPS/P2P/65769316/RAJENDRA PRASAD/8688531780,,1200.00,1985164.89
27/02/2023,27/02/2023,NEFT/0520148534/SURESH BABU/ICIC0272108/76477282458998,,24000.00,2009164.89
27/02/2023,27/02/2023,NEFT/45992047/RANJIT SINGH/ICIC0272108/51462261445881,7800.00,,2001364.89
27/02/2023,27/02/2023,IMPS/P2P/57634016/LATHA MURTHY/7490266508,,7600.00,2008964.89
27/02/2023,28/02/2023,UPI/CR/13930049/MOHAMMED IRFAN/ICIC0272108/mohammed58@oksbi,,32000.00,2040964.89
28/02/2023,28/02/2023,NEFT/9414335454/KAVITHA RAO/ICIC0272108/84530903491139,1680.00,,2039284.89
28/02/2023,01/03/2023,UPI/DR/2198965284/FARHAN KHAN/ICIC0272108/farhan822@okhdfc,120.00,,2039164.89
28/02/2023,28/02/2023,UPI/CR/263132667921/LAKSHMI VENKAT/ICIC0272108/lakshmi23@paytm,,850.00,2040014.89
28/02/2023,28/02/2023,CHQ NO 333815 CLEARING,7800.00,,2032214.89
28/02/2023,28/02/2023,UPI/CR/30947207/PREETHI IYER/ICIC0272108/preethi689@oksbi,,11200.00,2043414.89
28/02/2023,28/02/2023,IMPS/P2P/074296312736/BINDHU NAIR/8043884201,,7600.00,2051014.89
28/02/2023,01/03/2023,CHQ NO 660267 CLEARING,1250.00,,2049764.89
01/03/2023,01/03/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,24000.00,2073764.89
01/03/2023,01/03/2023,ATM/WDL/873225088348/SBI ATM JAYANAGAR BLR,310.00,,2073454.89
02/03/2023,02/03/2023,UPI/DR/3930557016/CHANDAN SHARMA/ICIC0272108/chandan956@oksbi,49.00,,2073405.89
02/03/2023,03/03/2023,NEFT/784840061672/REKHA PILLAI/ICIC0272108/37059022431314,,4800.00,2078205.89
03/03/2023,03/03/2023,ATM/WDL/59638515/CANARA ATM MYSURU,999.00,,2077206.89
04/03/2023,05/03/2023,ATM/WDL/9768508725/CANARA ATM MYSURU,2380.00,,2074826.89
05/03/2023,05/03/2023,UPI/DR/99067154/KARTHIK MENON/ICIC0272108/karthik366@paytm,7800.00,,2067026.89
05/03/2023,05/03/2023,IMPS/P2P/8613846523/TARA SINGH/8621579666,,1200.00,2068226.89
06/03/2023,07/03/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,24000.00,2092226.89
06/03/2023,06/03/2023,NEFT/6686585341/ADITYA KUMAR/ICIC0272108/90133153382563,,850.00,2093076.89
07/03/2023,07/03/2023,CHQ NO 476339 CLEARING,310.00,,2092766.89
07/03/2023,07/03/2023,CHQ NO 497019 CLEARING,310.00,,2092456.89
07/03/2023,08/03/2023,UPI/DR/3805305648/DEEPA NAIR/ICIC0272108/deepa242@ybl,7800.00,,2084656.89
07/03/2023,07/03/2023,NEFT/35496242/LALITHA DEVI/ICIC0272108/34409389105222,249.00,,2084407.89
07/03/2023,07/03/2023,UPI/DR/019291166559/RANJIT SINGH/ICIC0272108/ranjit475@okhdfc,850.00,,2083557.89
07/03/2023,07/03/2023,UPI/DR/738967944121/RAMESH PILLAI/ICIC0272108/ramesh258@ybl,7800.00,,2075757.89
08/03/2023,08/03/2023,NEFT/0293817975/DEEPA NAIR/ICIC0272108/22401696604701,1680.00,,2074077.89
08/03/2023,09/03/2023,NEFT/31434619/HARISH MENON/ICIC0272108/28765944725196,,32000.00,2106077.89
08/03/2023,08/03/2023,CHQ NO 910458 CLEARING,49.00,,2106028.89
08/03/2023,08/03/2023,UPI/DR/7506208392/SMITHA PILLAI/ICIC0272108/smitha393@oksbi,5200.00,,2100828.89
08/03/2023,08/03/2023,IMPS/P2P/7975545701/VIKRAM NAIR/8928076038,,11200.00,2112028.89
09/03/2023,09/03/2023,UPI/DR/91699625/BABU LAL/ICIC0272108/babu631@ybl,1680.00,,2110348.89
09/03/2023,09/03/2023,UPI/DR/625583666885/FARHAN KHAN/ICIC0272108/farhan884@okaxis,2380.00,,2107968.89
09/03/2023,09/03/2023,CHQ NO 140273 CLEARING,49.00,,2107919.89
10/03/2023,10/03/2023,NEFT/9758503185/DEEPAK JOSHI/ICIC0272108/16968985493227,,1200.00,2109119.89
10/03/2023,10/03/2023,IMPS/P2P/1051343598/BINDHU NAIR/9246519058,,11200.00,2120319.89
10/03/2023,10/03/2023,UPI/CR/14387334/RAMESH GOWDA/ICIC0272108/ramesh888@paytm,,4800.00,2125119.89
10/03/2023,10/03/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,18500.00,2143619.89
10/03/2023,11/03/2023,NEFT/56143837/MOHAMMED IRFAN/ICIC0272108/40061750249361,49.00,,2143570.89
10/03/2023,10/03/2023,UPI/DR/52238022/USHA RANI/ICIC0272108/usha298@okaxis,999.00,,2142571.89
11/03/2023,11/03/2023,NEFT/5158280150/BABU LAL/ICIC0272108/11417840110727,,24000.00,2166571.89
11/03/2023,11/03/2023,NEFT/6775020307/KAVERI MENON/ICIC0272108/41206982245900,1680.00,,2164891.89
12/03/2023,12/03/2023,UPI/DR/875105867569/ADITYA KUMAR/ICIC0272108/aditya755@okhdfc,699.00,,2164192.89
12/03/2023,13/03/2023,UPI/DR/2059241066/NAVEEN KUMAR/ICIC0272108/naveen526@ybl,120.00,,2164072.89
12/03/2023,12/03/2023,NEFT/8695441826/FATIMA SHEIKH/ICIC0272108/91903829571923,,1200.00,2165272.89
13/03/2023,13/03/2023,UPI/DR/76587500/SANTOSH KUMAR/ICIC0272108/santosh481@ybl,49.00,,2165223.89
13/03/2023,13/03/2023,IMPS/P2P/16965365/KAVITHA RAO/7703921621,,11200.00,2176423.89
14/03/2023,15/03/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,32000.00,2208423.89
14/03/2023,15/03/2023,UPI/CR/2190402950/RAMESH PILLAI/ICIC0272108/ramesh928@oksbi,,18500.00,2226923.89
14/03/2023,14/03/2023,NEFT/72094237/SANJANA HEGDE/ICIC0272108/05546789971466,,2500.00,2229423.89
14/03/2023,14/03/2023,UPI/DR/8557355260/MOHAMMED IRFAN/ICIC0272108/mohammed546@paytm,249.00,,2229174.89
14/03/2023,14/03/2023,NEFT/6032646066/VIKRAM NAIR/ICIC0272108/17585120027849,,11200.00,2240374.89
15/03/2023,15/03/2023,UPI/DR/28670641/VENKAT RAO/ICIC0272108/venkat222@oksbi,310.00,,2240064.89
16/03/2023,17/03/2023,ATM/WDL/20471587/HDFC ATM KORAMANGALA,1250.00,,2238814.89
16/03/2023,17/03/2023,IMPS/P2P/554233269847/MEENA IYER/8610149122,,32000.00,2270814.89
16/03/2023,16/03/2023,IMPS/P2P/8106091016/GEETA DEVI/8219824360,,4800.00,2275614.89
16/03/2023,17/03/2023,ATM/WDL/950364974556/CANARA ATM MYSURU,2380.00,,2273234.89
16/03/2023,16/03/2023,UPI/DR/65498937/CHANDAN SHARMA/ICIC0272108/chandan180@okaxis,7800.00,,2265434.89
17/03/2023,18/03/2023,UPI/DR/2630194028/KAVERI MENON/ICIC0272108/kaveri30@oksbi,79.00,,2265355.89
17/03/2023,18/03/2023,UPI/DR/91753699/KIRAN REDDY/ICIC0272108/kiran955@okaxis,79.00,,2265276.89
17/03/2023,17/03/2023,UPI/DR/1269108596/KAVYA REDDY/ICIC0272108/kavya366@oksbi,699.00,,2264577.89
18/03/2023,18/03/2023,UPI/DR/5654449142/RANJIT SINGH/ICIC0272108/ranjit621@okaxis,7800.00,,2256777.89
18/03/2023,18/03/2023,IMPS/P2P/231880729211/IMRAN KHAN/7163616580,,32000.00,2288777.89
19/03/2023,19/03/2023,IMPS/P2P/965031469618/ARCHANA PILLAI/7418946383,,11200.00,2299977.89
20/03/2023,20/03/2023,CHQ NO 299860 CLEARING,79.00,,2299898.89
20/03/2023,20/03/2023,UPI/CR/820582099494/NADIA HUSSAIN/ICIC0272108/nadia904@paytm,,4800.00,2304698.89
20/03/2023,20/03/2023,NEFT/15898227/SHEELA DEVI/ICIC0272108/64745967069463,3499.00,,2301199.89
20/03/2023,21/03/2023,UPI/CR/164143785311/SURESH NAIR/ICIC0272108/suresh143@okaxis,,1200.00,2302399.89
22/03/2023,23/03/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,4800.00,2307199.89
22/03/2023,22/03/2023,UPI/DR/8672778661/ARJUN MEHTA/ICIC0272108/arjun362@oksbi,49.00,,2307150.89
22/03/2023,22/03/2023,UPI/DR/7923475052/ARCHANA PILLAI/ICIC0272108/archana991@oksbi,49.00,,2307101.89
22/03/2023,23/03/2023,UPI/CR/9284268693/GOPAL VERMA/ICIC0272108/gopal668@oksbi,,24000.00,2331101.89
23/03/2023,23/03/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,2500.00,2333601.89
23/03/2023,23/03/2023,UPI/DR/2630857907/ROHIT SHARMA/ICIC0272108/rohit46@paytm,310.00,,2333291.89
23/03/2023,24/03/2023,NEFT/8464524495/DEEPAK JOSHI/ICIC0272108/04283210343518,,4800.00,2338091.89
24/03/2023,24/03/2023,ATM/WDL/6591537843/HDFC ATM KORAMANGALA,310.00,,2337781.89
