Date,Particulars,Debit,Credit,Balance
13/11/2022,UPI/DR/9913742301/RAMESH PILLAI/CNRB0226879/ramesh868@oksbi,49.00,,1047560.29
13/11/2022,NEFT/1130504659/KIRAN REDDY/CNRB0226879/84334872849617,7800.00,,1039760.29
14/11/2022,ATM/WDL/444109765218/SBI ATM JAYANAGAR BLR,2380.00,,1037380.29
14/11/2022,NEFT/9017542507/SAVITHA DEVI/CNRB0226879/68982886200419,449.00,,1036931.29
15/11/2022,NEFT/74367787/TARA SINGH/CNRB0226879/10936268546960,49.00,,1036882.29
15/11/2022,UPI/DR/705746654541/KARTHIK MENON/CNRB0226879/karthik448@okhdfc,49.00,,1036833.29
15/11/2022,CHQ NO 064577 CLEARING,249.00,,1036584.29
16/11/2022,ATM/WDL/27099592/SBI ATM JAYANAGAR BLR,79.00,,1036505.29
16/11/2022,UPI/DR/917582305753/SURESH BABU/CNRB0226879/suresh560@ybl,79.00,,1036426.29
16/11/2022,UPI/DR/5996197383/DEEPAK JOSHI/CNRB0226879/deepak943@okaxis,1250.00,,1035176.29
17/11/2022,ATM/WDL/284426001760/HDFC ATM KORAMANGALA,699.00,,1034477.29
18/11/2022,UPI/CR/853331571694/HARISH MENON/CNRB0226879/harish553@paytm,,850.00,1035327.29
19/11/2022,UPI/DR/4832137839/DEEPA NAIR/CNRB0226879/deepa70@oksbi,1680.00,,1033647.29
19/11/2022,UPI/DR/6993726830/KAVITHA RAO/CNRB0226879/kavitha927@ybl,7800.00,,1025847.29
20/11/2022,IMPS/P2P/188425366437/VENKAT RAO/9749794212,,4800.00,1030647.29
20/11/2022,ATM/WDL/3627269500/CANARA ATM MYSURU,120.00,,1030527.29
21/11/2022,UPI/DR/2723230746/GANESH KUMAR/CNRB0226879/ganesh323@ybl,49.00,,1030478.29
21/11/2022,CHQ NO 899777 CLEARING,999.00,,1029479.29
21/11/2022,ATM/WDL/37777893/HDFC ATM KORAMANGALA,310.00,,1029169.29
21/11/2022,UPI/DR/16663520/NILESH KULKARNI/CNRB0226879/nilesh826@paytm,3499.00,,1025670.29
21/11/2022,UPI/DR/75384784/MALLIKA DAS/CNRB0226879/mallika581@ybl,249.00,,1025421.29
22/11/2022,NEFT/13274516/RAVI KUMAR SHARMA/CNRB0226879/30723639098749,,11200.00,1036621.29
22/11/2022,ATM/WDL/6682507112/CANARA ATM MYSURU,449.00,,1036172.29
22/11/2022,NEFT/8067899556/PREETHI IYER/CNRB0226879/96693864771634,,850.00,1037022.29
22/11/2022,UPI/CR/9288593344/TANVI RAO/CNRB0226879/tanvi74@ybl,,850.00,1037872.29
22/11/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,24000.00,1061872.29
23/11/2022,ATM/WDL/15815003/SBI ATM JAYANAGAR BLR,3499.00,,1058373.29
23/11/2022,ATM/WDL/97133424/CANARA ATM MYSURU,249.00,,1058124.29
23/11/2022,CHQ NO 730352 CLEARING,1680.00,,1056444.29
24/11/2022,UPI/DR/369727872036/RESHMA KHAN/CNRB0226879/reshma839@ybl,850.00,,1055594.29
24/11/2022,ATM/WDL/2080863076/SBI ATM JAYANAGAR BLR,1250.00,,1054344.29
24/11/2022,UPI/DR/15424427/NAVEEN KUMAR/CNRB0226879/naveen414@ybl,2380.00,,1051964.29
24/11/2022,UPI/DR/8228098374/MOHAN DAS/CNRB0226879/mohan685@okaxis,7800.00,,1044164.29
24/11/2022,UPI/CR/90505781/SUSHMA RAO/CNRB0226879/sushma196@paytm,,850.00,1045014.29
25/11/2022,UPI/DR/28069103/ARJUN MEHTA/CNRB0226879/arjun674@oksbi,3499.00,,1041515.29
26/11/2022,UPI/DR/349170511159/RAHUL SINGH/CNRB0226879/rahul832@ybl,79.00,,1041436.29
26/11/2022,UPI/CR/9695642439/KAVITHA RAO/CNRB0226879/kavitha464@oksbi,,1200.00,1042636.29
26/11/2022,IMPS/P2P/0621451599/PREETHI IYER/7304948443,,32000.00,1074636.29
27/11/2022,IMPS/P2P/6513689467/KAVERI MENON/8647510346,,500.00,1075136.29
28/11/2022,UPI/DR/8894685431/SURESH BABU/CNRB0226879/suresh492@ybl,1250.00,,1073886.29
28/11/2022,ATM/WDL/257462581568/CANARA ATM MYSURU,2380.00,,1071506.29
28/11/2022,CHQ NO 913583 CLEARING,3499.00,,1068007.29
28/11/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,7600.00,1075607.29
29/11/2022,UPI/DR/90116648/MALLIKA DAS/CNRB0226879/mallika302@oksbi,7800.00,,1067807.29
29/11/2022,UPI/DR/26023012/SUNIL YADAV/CNRB0226879/sunil149@paytm,120.00,,1067687.29
29/11/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,24000.00,1091687.29
29/11/2022,NEFT/96958148/SNEHA PATIL/CNRB0226879/62825534431180,79.00,,1091608.29
29/11/2022,CHQ NO 208839 CLEARING,999.00,,1090609.29
29/11/2022,UPI/DR/322236105413/RAMESH GOWDA/CNRB0226879/ramesh951@paytm,249.00,,1090360.29
01/12/2022,UPI/DR/64717235/MOHAMMED IRFAN/CNRB0226879/mohammed778@okhdfc,3499.00,,1086861.29
02/12/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,32000.00,1118861.29
03/12/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,4800.00,1123661.29
03/12/2022,UPI/DR/889149909344/SANJANA HEGDE/CNRB0226879/sanjana246@paytm,3499.00,,1120162.29
03/12/2022,UPI/DR/272957724487/IMRAN KHAN/CNRB0226879/imran33@okhdfc,310.00,,1119852.29
03/12/2022,UPI/DR/49883234/PRAKASH RAO/CNRB0226879/prakash172@paytm,7800.00,,1112052.29
04/12/2022,UPI/DR/7555297030/SURESH NAIR/CNRB0226879/suresh57@oksbi,2380.00,,1109672.29
04/12/2022,ATM/WDL/6674643625/HDFC ATM KORAMANGALA,850.00,,1108822.29
04/12/2022,ATM/WDL/88692957/HDFC ATM KORAMANGALA,49.00,,1108773.29
04/12/2022,ATM/WDL/16495931/CANARA ATM MYSURU,120.00,,1108653.29
04/12/2022,NEFT/99245441/PREETHI IYER/CNRB0226879/63879929912408,,2500.00,1111153.29
04/12/2022,IMPS/P2P/7189287783/FATIMA SHEIKH/8367683202,,11200.00,1122353.29
05/12/2022,NEFT/274033094784/ARCHANA PILLAI/CNRB0226879/11782770801618,,7600.00,1129953.29
05/12/2022,CHQ NO 453426 CLEARING,699.00,,1129254.29
06/12/2022,NEFT/414398991404/SMITHA PILLAI/CNRB0226879/43950658611196,1250.00,,1128004.29
06/12/2022,NEFT/3393208095/RAMESH PILLAI/CNRB0226879/16321528518106,,1200.00,1129204.29
06/12/2022,UPI/DR/482253186872/ARUN SHARMA/CNRB0226879/arun413@paytm,1680.00,,1127524.29
07/12/2022,UPI/DR/2445534866/SNEHA PATIL/CNRB0226879/sneha675@okhdfc,2380.00,,1125144.29
07/12/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,1200.00,1126344.29
07/12/2022,NEFT/31790728/SNEHA PATIL/CNRB0226879/65063351854743,,4800.00,1131144.29
08/12/2022,UPI/DR/89731448/RAJESH VERMA/CNRB0226879/rajesh132@paytm,79.00,,1131065.29
09/12/2022,UPI/DR/905890953781/ARUN SHARMA/CNRB0226879/arun377@okaxis,5200.00,,1125865.29
09/12/2022,CHQ NO 754810 CLEARING,79.00,,1125786.29
09/12/2022,CHQ NO 815018 CLEARING,79.00,,1125707.29
09/12/2022,UPI/CR/85379621/MEERA PILLAI/CNRB0226879/meera217@paytm,,32000.00,1157707.29
09/12/2022,UPI/DR/2208619550/CHANDAN SHARMA/CNRB0226879/chandan790@okhdfc,310.00,,1157397.29
10/12/2022,UPI/DR/787780994861/GOPAL VERMA/CNRB0226879/gopal131@paytm,449.00,,1156948.29
11/12/2022,ATM/WDL/34396919/HDFC ATM KORAMANGALA,49.00,,1156899.29
11/12/2022,UPI/CR/27158167/LATHA MURTHY/CNRB0226879/latha605@paytm,,1200.00,1158099.29
11/12/2022,NEFT/986820679703/NIKHIL GUPTA/CNRB0226879/10496249648473,,24000.00,1182099.29
12/12/2022,ATM/WDL/2763315083/SBI ATM JAYANAGAR BLR,1250.00,,1180849.29
13/12/2022,IMPS/P2P/04689633/NADIA HUSSAIN/9809300935,,2500.00,1183349.29
13/12/2022,IMPS/P2P/4379869850/ROHIT SHARMA/9928261529,,24000.00,1207349.29
13/12/2022,UPI/DR/46046582/SURESH NAIR/CNRB0226879/suresh665@oksbi,1250.00,,1206099.29
13/12/2022,NEFT/32237094/SURESH NAIR/CNRB0226879/41599467992527,,18500.00,1224599.29
13/12/2022,UPI/DR/2314017572/REKHA PILLAI/CNRB0226879/rekha755@oksbi,699.00,,1223900.29
14/12/2022,NEFT/3935947136/SUNIL YADAV/CNRB0226879/87491181699854,,32000.00,1255900.29
15/12/2022,UPI/DR/1271888944/ARJUN MEHTA/CNRB0226879/arjun816@okaxis,449.00,,1255451.29
15/12/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,18500.00,1273951.29
15/12/2022,CHQ NO 455924 CLEARING,1250.00,,1272701.29
15/12/2022,NEFT/1585950791/VINAY PATIL/CNRB0226879/00118470755766,,11200.00,1283901.29
15/12/2022,NEFT/1000613358/POOJA SHARMA/CNRB0226879/37435783818917,,18500.00,1302401.29
16/12/2022,ATM/WDL/0935757544/CANARA ATM MYSURU,449.00,,1301952.29
16/12/2022,NEFT/307212728379/VINAY PATIL/CNRB0226879/04895897297928,850.00,,1301102.29
16/12/2022,CHQ NO 213549 CLEARING,699.00,,1300403.29
16/12/2022,UPI/DR/5675660982/LATHA MURTHY/CNRB0226879/latha143@oksbi,3499.00,,1296904.29
17/12/2022,ATM/WDL/6278679928/HDFC ATM KORAMANGALA,850.00,,1296054.29
17/12/2022,NEFT/514219470950/VINAY PATIL/CNRB0226879/07374941356082,,32000.00,1328054.29
17/12/2022,ATM/WDL/1617274125/HDFC ATM KORAMANGALA,699.00,,1327355.29
17/12/2022,UPI/DR/59850607/NILESH KULKARNI/CNRB0226879/nilesh711@paytm,120.00,,1327235.29
18/12/2022,NEFT/5379696273/ARCHANA PILLAI/CNRB0226879/54983727608993,,11200.00,1338435.29
18/12/2022,UPI/CR/54164070/ANITHA KRISHNAN/CNRB0226879/anitha736@paytm,,4800.00,1343235.29
18/12/2022,UPI/DR/21370878/ARUN SHARMA/CNRB0226879/arun790@okaxis,449.00,,1342786.29
19/12/2022,NEFT/523171749321/POOJA SHARMA/CNRB0226879/32057175504254,850.00,,1341936.29
19/12/2022,NEFT/0868779943/AYESHA KHAN/CNRB0226879/45621191447872,,7600.00,1349536.29
19/12/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,850.00,1350386.29
19/12/2022,NEFT/26333099/NILESH KULKARNI/CNRB0226879/80394834888606,,4800.00,1355186.29
19/12/2022,CHQ NO 007478 CLEARING,310.00,,1354876.29
20/12/2022,UPI/DR/813490592749/LAKSHMI VENKAT/CNRB0226879/lakshmi785@okhdfc,120.00,,1354756.29
20/12/2022,UPI/DR/509976913002/SUNIL YADAV/CNRB0226879/sunil194@okhdfc,3499.00,,1351257.29
21/12/2022,CHQ NO 858172 CLEARING,49.00,,1351208.29
21/12/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,7600.00,1358808.29
21/12/2022,NEFT/22455791/NAVEEN KUMAR/CNRB0226879/02461584348463,3499.00,,1355309.29
22/12/2022,UPI/DR/5324356893/RAHUL SINGH/CNRB0226879/rahul809@okhdfc,1250.00,,1354059.29
22/12/2022,UPI/DR/698332030383/KIRAN REDDY/CNRB0226879/kiran882@oksbi,120.00,,1353939.29
22/12/2022,UPI/DR/717894893678/GOPAL VERMA/CNRB0226879/gopal211@paytm,2380.00,,1351559.29
23/12/2022,NEFT/3389854370/ADITYA KUMAR/CNRB0226879/05360195510138,,850.00,1352409.29
23/12/2022,ATM/WDL/4439224765/CANARA ATM MYSURU,449.00,,1351960.29
23/12/2022,ATM/WDL/2123826861/HDFC ATM KORAMANGALA,999.00,,1350961.29
24/12/2022,IMPS/P2P/30979274/REKHA PILLAI/8880311125,,4800.00,1355761.29
24/12/2022,ATM/WDL/4823556067/CANARA ATM MYSURU,7800.00,,1347961.29
24/12/2022,IMPS/P2P/4189630393/PADMA RAO/9917079225,,850.00,1348811.29
25/12/2022,CHQ NO 970473 CLEARING,5200.00,,1343611.29
25/12/2022,CHQ NO 668584 CLEARING,1680.00,,1341931.29
26/12/2022,UPI/DR/293762383658/FARHAN KHAN/CNRB0226879/farhan545@okhdfc,1250.00,,1340681.29
26/12/2022,UPI/DR/69895049/KIRAN REDDY/CNRB0226879/kiran375@oksbi,850.00,,1339831.29
26/12/2022,CHQ NO 475969 CLEARING,699.00,,1339132.29
26/12/2022,CHQ NO 965499 CLEARING,999.00,,1338133.29
26/12/2022,CHQ NO 039380 CLEARING,79.00,,1338054.29
27/12/2022,NEFT/5848486174/SURESH BABU/CNRB0226879/18318801165867,449.00,,1337605.29
27/12/2022,UPI/CR/57001703/RAVI KUMAR SHARMA/CNRB0226879/ravi578@okaxis,,32000.00,1369605.29
28/12/2022,NEFT/990992871099/KAVERI MENON/CNRB0226879/19811907720481,,11200.00,1380805.29
28/12/2022,IMPS/P2P/25426405/ARCHANA PILLAI/9370877260,,500.00,1381305.29
29/12/2022,CHQ NO 041829 CLEARING,120.00,,1381185.29
29/12/2022,NEFT/6232042809/SMITHA PILLAI/CNRB0226879/62689023283511,7800.00,,1373385.29
29/12/2022,ATM/WDL/34781855/HDFC ATM KORAMANGALA,850.00,,1372535.29
30/12/2022,UPI/DR/609778837074/MOHAMMED IRFAN/CNRB0226879/mohammed639@ybl,1250.00,,1371285.29
30/12/2022,UPI/DR/92866694/USHA RANI/CNRB0226879/usha572@okhdfc,2380.00,,1368905.29
30/12/2022,UPI/DR/12184344/KAVERI MENON/CNRB0226879/kaveri482@okhdfc,850.00,,1368055.29
30/12/2022,IMPS/P2P/00558706/VIKRAM NAIR/8865505476,,500.00,1368555.29
30/12/2022,UPI/CR/589721386176/DIVYA MENON/CNRB0226879/divya271@okhdfc,,11200.00,1379755.29
30/12/2022,IMPS/P2P/7913655716/SAVITHA DEVI/9121099180,,1200.00,1380955.29
31/12/2022,ATM/WDL/7600242673/HDFC ATM KORAMANGALA,79.00,,1380876.29
31/12/2022,UPI/CR/4074265631/PRAKASH RAO/CNRB0226879/prakash996@paytm,,7600.00,1388476.29
31/12/2022,ATM/WDL/3010351243/CANARA ATM MYSURU,2380.00,,1386096.29
01/01/2023,CHQ NO 993791 CLEARING,1680.00,,1384416.29
01/01/2023,UPI/DR/051089006745/NADIA HUSSAIN/CNRB0226879/nadia628@oksbi,49.00,,1384367.29
01/01/2023,UPI/CR/2309201090/ANITHA KRISHNAN/CNRB0226879/anitha379@ybl,,2500.00,1386867.29
02/01/2023,ATM/WDL/338291851499/CANARA ATM MYSURU,7800.00,,1379067.29
04/01/2023,UPI/DR/119444280393/VINAY PATIL/CNRB0226879/vinay664@oksbi,850.00,,1378217.29
05/01/2023,NEFT/805543158351/PRIYA NAIR/CNRB0226879/20750427425412,249.00,,1377968.29
05/01/2023,UPI/DR/798799636061/IMRAN KHAN/CNRB0226879/imran840@paytm,999.00,,1376969.29
05/01/2023,ATM/WDL/8641189351/CANARA ATM MYSURU,3499.00,,1373470.29
05/01/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,32000.00,1405470.29
06/01/2023,UPI/DR/6029284841/SNEHA PATIL/CNRB0226879/sneha460@okaxis,999.00,,1404471.29
06/01/2023,UPI/DR/831607230550/DIVYA MENON/CNRB0226879/divya528@okhdfc,850.00,,1403621.29
06/01/2023,ATM/WDL/198935317902/HDFC ATM KORAMANGALA,1680.00,,1401941.29
06/01/2023,IMPS/P2P/313565374721/ADITYA KUMAR/7126426421,,500.00,1402441.29
06/01/2023,UPI/DR/87700911/RAHUL SINGH/CNRB0226879/rahul515@paytm,1680.00,,1400761.29
07/01/2023,UPI/DR/7649160336/RAHUL SINGH/CNRB0226879/rahul872@oksbi,7800.00,,1392961.29
07/01/2023,UPI/CR/9149646907/POOJA SHARMA/CNRB0226879/pooja89@okaxis,,24000.00,1416961.29
07/01/2023,IMPS/P2P/1693701641/ANAND KUMAR/9730917309,,24000.00,1440961.29
08/01/2023,ATM/WDL/3350618850/HDFC ATM KORAMANGALA,79.00,,1440882.29
08/01/2023,ATM/WDL/6666164637/CANARA ATM MYSURU,699.00,,1440183.29
09/01/2023,NEFT/83229875/VINAY PATIL/CNRB0226879/72549012655114,,24000.00,1464183.29
09/01/2023,UPI/DR/2102796316/SMITHA PILLAI/CNRB0226879/smitha966@oksbi,249.00,,1463934.29
10/01/2023,IMPS/P2P/0788029263/SANJANA HEGDE/7145875670,,7600.00,1471534.29
10/01/2023,UPI/DR/2986576341/MALLIKA DAS/CNRB0226879/mallika749@oksbi,7800.00,,1463734.29
10/01/2023,UPI/CR/65454994/KAVITHA RAO/CNRB0226879/kavitha164@okaxis,,2500.00,1466234.29
10/01/2023,IMPS/P2P/03982596/SUNIL YADAV/9546473781,,500.00,1466734.29
12/01/2023,IMPS/P2P/6014318796/RANJIT SINGH/7258120191,,500.00,1467234.29
12/01/2023,UPI/DR/14922719/BINDHU NAIR/CNRB0226879/bindhu211@ybl,699.00,,1466535.29
12/01/2023,UPI/DR/7708245700/MOHAN DAS/CNRB0226879/mohan501@okaxis,249.00,,1466286.29
13/01/2023,CHQ NO 125991 CLEARING,1680.00,,1464606.29
13/01/2023,UPI/DR/9757995563/SHAHID KHAN/CNRB0226879/shahid75@oksbi,310.00,,1464296.29
14/01/2023,NEFT/268762350590/BABU LAL/CNRB0226879/84044136464681,2380.00,,1461916.29
14/01/2023,NEFT/36168906/HARISH MENON/CNRB0226879/01558733311295,3499.00,,1458417.29
16/01/2023,UPI/DR/782240990268/RANJIT SINGH/CNRB0226879/ranjit876@paytm,49.00,,1458368.29
16/01/2023,ATM/WDL/48323801/CANARA ATM MYSURU,3499.00,,1454869.29
16/01/2023,ATM/WDL/2214811393/SBI ATM JAYANAGAR BLR,3499.00,,1451370.29
17/01/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,32000.00,1483370.29
17/01/2023,UPI/DR/867041237435/SNEHA PATIL/CNRB0226879/sneha533@okaxis,310.00,,1483060.29
17/01/2023,CHQ NO 198137 CLEARING,3499.00,,1479561.29
17/01/2023,ATM/WDL/27378969/HDFC ATM KORAMANGALA,7800.00,,1471761.29
17/01/2023,NEFT/58243662/SUNITA DEVI/CNRB0226879/47016154079401,5200.00,,1466561.29
18/01/2023,NEFT/6938273631/NILESH KULKARNI/CNRB0226879/97463821879685,1250.00,,1465311.29
18/01/2023,NEFT/452915191450/POOJA SHARMA/CNRB0226879/84944455554671,449.00,,1464862.29
19/01/2023,UPI/DR/5856657947/VENKAT RAO/CNRB0226879/venkat279@paytm,7800.00,,1457062.29
19/01/2023,IMPS/P2P/1904325159/TANVI RAO/9881501987,,11200.00,1468262.29
19/01/2023,IMPS/P2P/081628042994/SURESH NAIR/7111355420,,32000.00,1500262.29
19/01/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,18500.00,1518762.29
20/01/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,24000.00,1542762.29
20/01/2023,NEFT/682979033574/VINAY PATIL/CNRB0226879/91136974562077,850.00,,1541912.29
22/01/2023,UPI/CR/84686779/SANTOSH KUMAR/CNRB0226879/santosh146@ybl,,24000.00,1565912.29
22/01/2023,UPI/DR/2519435095/SANTOSH KUMAR/CNRB0226879/santosh300@paytm,7800.00,,1558112.29
22/01/2023,UPI/DR/59759779/ARUN SHARMA/CNRB0226879/arun792@okhdfc,120.00,,1557992.29
23/01/2023,UPI/DR/463488551322/AYESHA KHAN/CNRB0226879/ayesha562@ybl,999.00,,1556993.29
23/01/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,2500.00,1559493.29
23/01/2023,NEFT/121191984457/SHAHID KHAN/CNRB0226879/94554318078324,249.00,,1559244.29
23/01/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,1200.00,1560444.29
23/01/2023,ATM/WDL/50772510/HDFC ATM KORAMANGALA,49.00,,1560395.29
24/01/2023,UPI/DR/541007893106/GEETA DEVI/CNRB0226879/geeta257@okhdfc,249.00,,1560146.29
24/01/2023,UPI/CR/1527676501/LAKSHMI VENKAT/CNRB0226879/lakshmi745@paytm,,2500.00,1562646.29
25/01/2023,NEFT/27006634/CHANDAN SHARMA/CNRB0226879/02052727447524,,32000.00,1594646.29
25/01/2023,UPI/DR/31584246/KIRAN REDDY/CNRB0226879/kiran861@oksbi,999.00,,1593647.29
25/01/2023,UPI/DR/404691736298/MEENA IYER/CNRB0226879/meena856@okhdfc,850.00,,1592797.29
26/01/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,11200.00,1603997.29
26/01/2023,NEFT/743708940204/VIKRAM NAIR/CNRB0226879/73984769590012,249.00,,1603748.29
26/01/2023,NEFT/527938617852/SNEHA PATIL/CNRB0226879/91839378969328,49.00,,1603699.29
26/01/2023,IMPS/P2P/125773474424/SNEHA PATIL/9676142577,,11200.00,1614899.29
27/01/2023,UPI/CR/5963247302/SNEHA PATIL/CNRB0226879/sneha528@okaxis,,4800.00,1619699.29
27/01/2023,UPI/DR/7907710968/NIKHIL GUPTA/CNRB0226879/nikhil433@okaxis,3499.00,,1616200.29
27/01/2023,UPI/DR/9325401125/SUSHMA RAO/CNRB0226879/sushma920@paytm,79.00,,1616121.29
28/01/2023,UPI/DR/110709985364/DEEPA NAIR/CNRB0226879/deepa152@oksbi,850.00,,1615271.29
28/01/2023,UPI/DR/32750375/SHAHID KHAN/CNRB0226879/shahid159@paytm,999.00,,1614272.29
28/01/2023,NEFT/700540597299/VENKAT RAO/CNRB0226879/40815268521049,,18500.00,1632772.29
28/01/2023,IMPS/P2P/6560657907/SUNITA DEVI/9290635014,,18500.00,1651272.29
28/01/2023,UPI/CR/984650004569/ARJUN MEHTA/CNRB0226879/arjun15@okhdfc,,32000.00,1683272.29
28/01/2023,UPI/DR/5452740887/ANAND KUMAR/CNRB0226879/anand282@ybl,5200.00,,1678072.29
28/01/2023,UPI/DR/219053637282/SUNIL YADAV/CNRB0226879/sunil810@okaxis,7800.00,,1670272.29
30/01/2023,UPI/DR/122013238583/BABU LAL/CNRB0226879/babu843@okhdfc,7800.00,,1662472.29
30/01/2023,CHQ NO 128452 CLEARING,699.00,,1661773.29
31/01/2023,UPI/DR/7126402303/NAVEEN KUMAR/CNRB0226879/naveen982@paytm,79.00,,1661694.29
31/01/2023,UPI/DR/939846204084/LATHA MURTHY/CNRB0226879/latha450@ybl,850.00,,1660844.29
31/01/2023,CHQ NO 986539 CLEARING,79.00,,1660765.29
01/02/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,18500.00,1679265.29
01/02/2023,UPI/CR/95620592/SUNIL YADAV/CNRB0226879/sunil445@okaxis,,4800.00,1684065.29
02/02/2023,UPI/DR/380910624986/DEEPAK JOSHI/CNRB0226879/deepak780@okhdfc,1250.00,,1682815.29
02/02/2023,UPI/DR/63181620/GANESH KUMAR/CNRB0226879/ganesh732@okaxis,120.00,,1682695.29
02/02/2023,UPI/DR/11642058/NAVEEN KUMAR/CNRB0226879/naveen291@okhdfc,699.00,,1681996.29
03/02/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,18500.00,1700496.29
03/02/2023,UPI/CR/972236863281/MEENA IYER/CNRB0226879/meena581@ybl,,7600.00,1708096.29
03/02/2023,UPI/DR/060116280345/ANAND KUMAR/CNRB0226879/anand949@paytm,1250.00,,1706846.29
03/02/2023,UPI/DR/028605453821/ARUN SHARMA/CNRB0226879/arun584@ybl,699.00,,1706147.29
03/02/2023,IMPS/P2P/96040556/HARISH MENON/9849726740,,24000.00,1730147.29
04/02/2023,ATM/WDL/7034662684/SBI ATM JAYANAGAR BLR,310.00,,1729837.29
04/02/2023,ATM/WDL/0969541306/SBI ATM JAYANAGAR BLR,310.00,,1729527.29
05/02/2023,UPI/CR/9672785771/RESHMA KHAN/CNRB0226879/reshma291@ybl,,11200.00,1740727.29
06/02/2023,UPI/DR/7356656768/RAMESH PILLAI/CNRB0226879/ramesh972@oksbi,999.00,,1739728.29
07/02/2023,NEFT/6305496260/FARHAN KHAN/CNRB0226879/06630284346179,7800.00,,1731928.29
07/02/2023,NEFT/53298463/RANJIT SINGH/CNRB0226879/92735000746663,,1200.00,1733128.29
07/02/2023,NEFT/9052706112/SUNIL YADAV/CNRB0226879/11810771668423,2380.00,,1730748.29
08/02/2023,UPI/CR/451446595285/ARCHANA PILLAI/CNRB0226879/archana369@oksbi,,4800.00,1735548.29
09/02/2023,NEFT/42442631/SUSHMA RAO/CNRB0226879/74276874136539,7800.00,,1727748.29
10/02/2023,UPI/CR/08798336/RAHUL SINGH/CNRB0226879/rahul155@oksbi,,11200.00,1738948.29
10/02/2023,NEFT/17033078/CHANDAN SHARMA/CNRB0226879/33596718567481,,7600.00,1746548.29
10/02/2023,UPI/CR/44808956/SHAHID KHAN/CNRB0226879/shahid337@okaxis,,4800.00,1751348.29
11/02/2023,NEFT/60568963/RAVI KUMAR SHARMA/CNRB0226879/59223609734615,1680.00,,1749668.29
11/02/2023,ATM/WDL/6754571633/HDFC ATM KORAMANGALA,850.00,,1748818.29
11/02/2023,NEFT/4141531285/GOPAL VERMA/CNRB0226879/84138744837350,850.00,,1747968.29
13/02/2023,UPI/CR/37563501/DEEPAK JOSHI/CNRB0226879/deepak892@okaxis,,11200.00,1759168.29
13/02/2023,UPI/DR/3352163876/RAMESH PILLAI/CNRB0226879/ramesh323@ybl,7800.00,,1751368.29
14/02/2023,NEFT/51109087/POOJA SHARMA/CNRB0226879/22289233838576,,850.00,1752218.29
15/02/2023,ATM/WDL/707431412810/HDFC ATM KORAMANGALA,999.00,,1751219.29
15/02/2023,CHQ NO 182556 CLEARING,3499.00,,1747720.29
15/02/2023,NEFT/12718118/RESHMA KHAN/CNRB0226879/87036093159653,,2500.00,1750220.29
16/02/2023,NEFT/667732290852/AYESHA KHAN/CNRB0226879/96478523601587,999.00,,1749221.29
16/02/2023,CHQ NO 263309 CLEARING,699.00,,1748522.29
17/02/2023,NEFT/67792806/SANTOSH KUMAR/CNRB0226879/67941203678883,,7600.00,1756122.29
17/02/2023,IMPS/P2P/769037937320/RAMESH PILLAI/9409376673,,1200.00,1757322.29
17/02/2023,ATM/WDL/9601554737/SBI ATM JAYANAGAR BLR,120.00,,1757202.29
17/02/2023,ATM/WDL/00513143/HDFC ATM KORAMANGALA,49.00,,1757153.29
17/02/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,850.00,1758003.29
18/02/2023,ATM/WDL/490013978059/CANARA ATM MYSURU,5200.00,,1752803.29
18/02/2023,ATM/WDL/45199297/CANARA ATM MYSURU,999.00,,1751804.29
19/02/2023,UPI/DR/999775574183/SNEHA PATIL/CNRB0226879/sneha532@okaxis,7800.00,,1744004.29
20/02/2023,CHQ NO 990300 CLEARING,49.00,,1743955.29
21/02/2023,UPI/DR/7612195582/USHA RANI/CNRB0226879/usha741@ybl,249.00,,1743706.29
21/02/2023,ATM/WDL/229768077567/HDFC ATM KORAMANGALA,999.00,,1742707.29
21/02/2023,UPI/DR/937901374688/PRIYA NAIR/CNRB0226879/priya40@okhdfc,49.00,,1742658.29
