Transaction Date,Particulars,Chq/Ref No,Debit,Credit,Balance
01/11/2022,UPI/DR/01077215/KAVYA REDDY/PUNB0368283/kavya974@ybl,TXN0271806,850.00,,872129.52
01/11/2022,ATM/WDL/6040767901/SBI ATM JAYANAGAR BLR,TXN0271807,49.00,,872080.52
01/11/2022,NEFT/451608378069/AYESHA KHAN/PUNB0368283/90254749899805,TXN0271808,,2500.00,874580.52
01/11/2022,UPI/DR/985922529725/PRAKASH RAO/PUNB0368283/prakash237@oksbi,TXN0271809,1680.00,,872900.52
02/11/2022,NEFT/9108223349/RESHMA KHAN/PUNB0368283/95582102638487,TXN0271810,249.00,,872651.52
02/11/2022,UPI/DR/681562441501/POOJA SHARMA/PUNB0368283/pooja358@ybl,TXN0271811,2380.00,,870271.52
02/11/2022,UPI/DR/239968072097/LALITHA DEVI/PUNB0368283/lalitha989@okhdfc,TXN0271812,249.00,,870022.52
02/11/2022,CHQ NO 003799 CLEARING,TXN0271813,850.00,,869172.52
02/11/2022,IMPS/P2P/66837460/MOHAN DAS/7821989349,TXN0271814,,4800.00,873972.52
02/11/2022,UPI/DR/094012376310/SUSHMA RAO/PUNB0368283/sushma538@okaxis,TXN0271815,1250.00,,872722.52
03/11/2022,UPI/DR/7162353734/RAVI KUMAR SHARMA/PUNB0368283/ravi912@ybl,TXN0271816,3499.00,,869223.52
03/11/2022,ATM/WDL/970888815619/CANARA ATM MYSURU,TXN0271817,699.00,,868524.52
03/11/2022,NEFT/4285020137/MEENA IYER/PUNB0368283/91835743807882,TXN0271818,310.00,,868214.52
03/11/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271819,,1200.00,869414.52
04/11/2022,NEFT/65178954/ARUN SHARMA/PUNB0368283/28342491603185,TXN0271820,3499.00,,865915.52
04/11/2022,NEFT/8270591342/PRAKASH RAO/PUNB0368283/97587357600697,TXN0271821,,500.00,866415.52
04/11/2022,NEFT/300618005641/NADIA HUSSAIN/PUNB0368283/40444278184049,TXN0271822,1680.00,,864735.52
05/11/2022,UPI/DR/923067555120/KIRAN REDDY/PUNB0368283/kiran188@oksbi,TXN0271823,79.00,,864656.52
06/11/2022,NEFT/3835897119/FATIMA SHEIKH/PUNB0368283/52132246067271,TXN0271824,,500.00,865156.52
06/11/2022,NEFT/65599514/CHANDAN SHARMA/PUNB0368283/02744755682317,TXN0271825,,1200.00,866356.52
07/11/2022,UPI/DR/24185238/LALITHA DEVI/PUNB0368283/lalitha703@okaxis,TXN0271826,79.00,,866277.52
07/11/2022,CHQ NO 858330 CLEARING,TXN0271827,49.00,,866228.52
07/11/2022,UPI/DR/2374053232/NILESH KULKARNI/PUNB0368283/nilesh35@ybl,TXN0271828,699.00,,865529.52
08/11/2022,UPI/DR/038731441017/BABU LAL/PUNB0368283/babu902@ybl,TXN0271829,310.00,,865219.52
08/11/2022,UPI/DR/95381186/LALITHA DEVI/PUNB0368283/lalitha126@okaxis,TXN0271830,1680.00,,863539.52
09/11/2022,UPI/DR/434761688117/HARISH MENON/PUNB0368283/harish974@oksbi,TXN0271831,120.00,,863419.52
09/11/2022,ATM/WDL/037122666375/HDFC ATM KORAMANGALA,TXN0271832,1250.00,,862169.52
09/11/2022,ATM/WDL/068125682559/HDFC ATM KORAMANGALA,TXN0271833,1680.00,,860489.52
09/11/2022,UPI/DR/6770379830/KAVERI MENON/PUNB0368283/kaveri988@okhdfc,TXN0271834,449.00,,860040.52
10/11/2022,IMPS/P2P/64734618/SHAHID KHAN/8482998178,TXN0271835,,32000.00,892040.52
10/11/2022,ATM/WDL/24224258/SBI ATM JAYANAGAR BLR,TXN0271836,2380.00,,889660.52
11/11/2022,IMPS/P2P/7535716287/NAVEEN KUMAR/7034293088,TXN0271837,,1200.00,890860.52
11/11/2022,UPI/DR/95919844/SAVITHA DEVI/PUNB0368283/savitha70@paytm,TXN0271838,1680.00,,889180.52
11/11/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271839,,7600.00,896780.52
12/11/2022,NEFT/8547330826/PREETHI IYER/PUNB0368283/83907937320997,TXN0271840,49.00,,896731.52
12/11/2022,IMPS/P2P/0373174907/KAVITHA RAO/7273018546,TXN0271841,,32000.00,928731.52
12/11/2022,UPI/CR/6821724484/NADIA HUSSAIN/PUNB0368283/nadia662@ybl,TXN0271842,,18500.00,947231.52
12/11/2022,UPI/DR/37023576/GEETA DEVI/PUNB0368283/geeta956@paytm,TXN0271843,5200.00,,942031.52
12/11/2022,UPI/DR/103157052182/SANTOSH KUMAR/PUNB0368283/santosh691@oksbi,TXN0271844,79.00,,941952.52
13/11/2022,UPI/CR/371914841135/AYESHA KHAN/PUNB0368283/ayesha23@oksbi,TXN0271845,,850.00,942802.52
13/11/2022,NEFT/3316002766/HARISH MENON/PUNB0368283/34339880092930,TXN0271846,120.00,,942682.52
14/11/2022,UPI/DR/1343842579/GOPAL VERMA/PUNB0368283/gopal784@oksbi,TXN0271847,49.00,,942633.52
14/11/2022,NEFT/09270296/LATHA MURTHY/PUNB0368283/82239960714348,TXN0271848,2380.00,,940253.52
15/11/2022,ATM/WDL/61153179/HDFC ATM KORAMANGALA,TXN0271849,2380.00,,937873.52
15/11/2022,ATM/WDL/96502892/HDFC ATM KORAMANGALA,TXN0271850,3499.00,,934374.52
16/11/2022,UPI/DR/952432491813/DIVYA MENON/PUNB0368283/divya588@oksbi,TXN0271851,79.00,,934295.52
16/11/2022,UPI/CR/8028342438/RANJIT SINGH/PUNB0368283/ranjit630@ybl,TXN0271852,,2500.00,936795.52
17/11/2022,UPI/DR/17345066/BINDHU NAIR/PUNB0368283/bindhu456@okhdfc,TXN0271853,79.00,,936716.52
17/11/2022,UPI/DR/012017067091/NAVEEN KUMAR/PUNB0368283/naveen587@ybl,TXN0271854,1680.00,,935036.52
17/11/2022,UPI/DR/5797426456/SANJANA HEGDE/PUNB0368283/sanjana279@ybl,TXN0271855,850.00,,934186.52
18/11/2022,NEFT/45024569/KAVERI MENON/PUNB0368283/25697738362246,TXN0271856,1680.00,,932506.52
18/11/2022,UPI/DR/5943372561/ANAND KUMAR/PUNB0368283/anand509@oksbi,TXN0271857,310.00,,932196.52
18/11/2022,ATM/WDL/2590459372/CANARA ATM MYSURU,TXN0271858,5200.00,,926996.52
18/11/2022,CHQ NO 408499 CLEARING,TXN0271859,5200.00,,921796.52
18/11/2022,UPI/DR/725249916447/PREETHI IYER/PUNB0368283/preethi762@okaxis,TXN0271860,699.00,,921097.52
19/11/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271861,,2500.00,923597.52
19/11/2022,UPI/DR/87253683/RAJENDRA PRASAD/PUNB0368283/rajendra622@oksbi,TXN0271862,3499.00,,920098.52
19/11/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271863,,24000.00,944098.52
21/11/2022,UPI/DR/52219089/ARUN SHARMA/PUNB0368283/arun840@okhdfc,TXN0271864,449.00,,943649.52
21/11/2022,NEFT/878034811954/SNEHA PATIL/PUNB0368283/40332280123620,TXN0271865,,24000.00,967649.52
22/11/2022,UPI/DR/1721684557/PADMA RAO/PUNB0368283/padma102@oksbi,TXN0271866,699.00,,966950.52
22/11/2022,UPI/DR/3065471915/SUNITA DEVI/PUNB0368283/sunita438@okhdfc,TXN0271867,2380.00,,964570.52
23/11/2022,CHQ NO 943679 CLEARING,TXN0271868,449.00,,964121.52
23/11/2022,ATM/WDL/5091813365/SBI ATM JAYANAGAR BLR,TXN0271869,1250.00,,962871.52
23/11/2022,UPI/DR/54435513/DIVYA MENON/PUNB0368283/divya137@ybl,TXN0271870,1250.00,,961621.52
24/11/2022,CHQ NO 811569 CLEARING,TXN0271871,49.00,,961572.52
24/11/2022,UPI/DR/3152384331/SANJANA HEGDE/PUNB0368283/sanjana591@paytm,TXN0271872,79.00,,961493.52
24/11/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271873,,32000.00,993493.52
24/11/2022,UPI/DR/320374029450/RAVI KUMAR SHARMA/PUNB0368283/ravi17@paytm,TXN0271874,2380.00,,991113.52
25/11/2022,CHQ NO 822863 CLEARING,TXN0271875,5200.00,,985913.52
25/11/2022,UPI/DR/70483868/DIVYA MENON/PUNB0368283/divya508@paytm,TXN0271876,5200.00,,980713.52
26/11/2022,ATM/WDL/4666391276/CANARA ATM MYSURU,TXN0271877,449.00,,980264.52
26/11/2022,IMPS/P2P/16180232/TANVI RAO/9834531440,TXN0271878,,7600.00,987864.52
27/11/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271879,,18500.00,1006364.52
27/11/2022,NEFT/53330593/SURESH BABU/PUNB0368283/36939796436268,TXN0271880,,11200.00,1017564.52
28/11/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271881,,4800.00,1022364.52
28/11/2022,NEFT/588053259418/REKHA PILLAI/PUNB0368283/88294186685502,TXN0271882,49.00,,1022315.52
28/11/2022,UPI/DR/7751066341/CHANDAN SHARMA/PUNB0368283/chandan760@okaxis,TXN0271883,249.00,,1022066.52
28/11/2022,UPI/DR/9909165189/GEETA DEVI/PUNB0368283/geeta100@oksbi,TXN0271884,310.00,,1021756.52
28/11/2022,NEFT/79395902/MOHAMMED IRFAN/PUNB0368283/19287474705864,TXN0271885,3499.00,,1018257.52
29/11/2022,UPI/DR/255510865712/MEERA PILLAI/PUNB0368283/meera151@okhdfc,TXN0271886,79.00,,1018178.52
29/11/2022,UPI/DR/32740796/AYESHA KHAN/PUNB0368283/ayesha765@paytm,TXN0271887,49.00,,1018129.52
29/11/2022,UPI/DR/35203478/LAKSHMI VENKAT/PUNB0368283/lakshmi304@paytm,TXN0271888,850.00,,1017279.52
29/11/2022,NEFT/605076981355/MOHAN DAS/PUNB0368283/48486671296341,TXN0271889,,7600.00,1024879.52
30/11/2022,UPI/CR/1582199181/POOJA SHARMA/PUNB0368283/pooja335@ybl,TXN0271890,,2500.00,1027379.52
01/12/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271891,,24000.00,1051379.52
01/12/2022,UPI/CR/34843870/GANESH KUMAR/PUNB0368283/ganesh813@paytm,TXN0271892,,32000.00,1083379.52
02/12/2022,CHQ NO 976863 CLEARING,TXN0271893,5200.00,,1078179.52
03/12/2022,UPI/CR/645884760245/DEEPAK JOSHI/PUNB0368283/deepak987@okhdfc,TXN0271894,,2500.00,1080679.52
03/12/2022,UPI/CR/12656189/SUNIL YADAV/PUNB0368283/sunil967@okhdfc,TXN0271895,,7600.00,1088279.52
03/12/2022,ATM/WDL/87417781/SBI ATM JAYANAGAR BLR,TXN0271896,1250.00,,1087029.52
04/12/2022,UPI/DR/85514286/PRIYA NAIR/PUNB0368283/priya708@oksbi,TXN0271897,449.00,,1086580.52
04/12/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271898,,4800.00,1091380.52
04/12/2022,UPI/DR/000250125151/ANITHA KRISHNAN/PUNB0368283/anitha200@paytm,TXN0271899,249.00,,1091131.52
04/12/2022,UPI/CR/016517140831/LATHA MURTHY/PUNB0368283/latha99@okaxis,TXN0271900,,18500.00,1109631.52
05/12/2022,NEFT/285159733480/SUNITA DEVI/PUNB0368283/33604046721540,TXN0271901,,32000.00,1141631.52
05/12/2022,IMPS/P2P/50340905/IMRAN KHAN/9691258114,TXN0271902,,500.00,1142131.52
05/12/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271903,,24000.00,1166131.52
05/12/2022,UPI/DR/63033281/SMITHA PILLAI/PUNB0368283/smitha691@okhdfc,TXN0271904,310.00,,1165821.52
06/12/2022,NEFT/7102097435/GOPAL VERMA/PUNB0368283/25702230087743,TXN0271905,5200.00,,1160621.52
06/12/2022,UPI/DR/5058952476/TANVI RAO/PUNB0368283/tanvi254@ybl,TXN0271906,999.00,,1159622.52
06/12/2022,CHQ NO 284064 CLEARING,TXN0271907,7800.00,,1151822.52
06/12/2022,NEFT/522663367414/KAVITHA RAO/PUNB0368283/09801932692576,TXN0271908,79.00,,1151743.52
06/12/2022,UPI/CR/6484188418/MOHAMMED IRFAN/PUNB0368283/mohammed622@oksbi,TXN0271909,,32000.00,1183743.52
07/12/2022,UPI/DR/288251279404/TARA SINGH/PUNB0368283/tara615@oksbi,TXN0271910,49.00,,1183694.52
07/12/2022,UPI/DR/4101551449/ARUN SHARMA/PUNB0368283/arun79@paytm,TXN0271911,310.00,,1183384.52
07/12/2022,NEFT/208515169715/TANVI RAO/PUNB0368283/85519703395086,TXN0271912,,7600.00,1190984.52
07/12/2022,UPI/DR/55505952/SUNITA DEVI/PUNB0368283/sunita417@okaxis,TXN0271913,79.00,,1190905.52
07/12/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271914,,32000.00,1222905.52
08/12/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271915,,4800.00,1227705.52
09/12/2022,NEFT/844919534813/ARUN SHARMA/PUNB0368283/21905280023436,TXN0271916,1250.00,,1226455.52
09/12/2022,UPI/DR/75439039/DIVYA MENON/PUNB0368283/divya95@ybl,TXN0271917,249.00,,1226206.52
10/12/2022,UPI/DR/0347865675/GEETA DEVI/PUNB0368283/geeta800@ybl,TXN0271918,1250.00,,1224956.52
10/12/2022,UPI/DR/84841365/DIVYA MENON/PUNB0368283/divya432@paytm,TXN0271919,5200.00,,1219756.52
10/12/2022,IMPS/P2P/4230715315/KIRAN REDDY/7019498846,TXN0271920,,18500.00,1238256.52
10/12/2022,UPI/CR/77407621/SAVITHA DEVI/PUNB0368283/savitha545@okhdfc,TXN0271921,,850.00,1239106.52
11/12/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271922,,18500.00,1257606.52
11/12/2022,IMPS/P2P/045662193010/MEENA IYER/9432939305,TXN0271923,,500.00,1258106.52
12/12/2022,ATM/WDL/623999596992/HDFC ATM KORAMANGALA,TXN0271924,49.00,,1258057.52
13/12/2022,UPI/DR/8103450734/ARUN SHARMA/PUNB0368283/arun372@paytm,TXN0271925,49.00,,1258008.52
13/12/2022,IMPS/P2P/777573321939/SUNITA DEVI/8494503977,TXN0271926,,32000.00,1290008.52
13/12/2022,CHQ NO 309733 CLEARING,TXN0271927,699.00,,1289309.52
13/12/2022,CHQ NO 247459 CLEARING,TXN0271928,3499.00,,1285810.52
13/12/2022,UPI/DR/6400887853/MOHAN DAS/PUNB0368283/mohan164@oksbi,TXN0271929,49.00,,1285761.52
13/12/2022,CHQ NO 555332 CLEARING,TXN0271930,1680.00,,1284081.52
13/12/2022,UPI/DR/42796897/MEENA IYER/PUNB0368283/meena153@okaxis,TXN0271931,49.00,,1284032.52
14/12/2022,IMPS/P2P/7918213702/KAVERI MENON/8445133068,TXN0271932,,500.00,1284532.52
14/12/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271933,,11200.00,1295732.52
14/12/2022,UPI/CR/882862464592/SHAHID KHAN/PUNB0368283/shahid499@ybl,TXN0271934,,1200.00,1296932.52
15/12/2022,UPI/DR/80277662/AYESHA KHAN/PUNB0368283/ayesha550@okaxis,TXN0271935,49.00,,1296883.52
17/12/2022,UPI/DR/57439767/MOHAMMED IRFAN/PUNB0368283/mohammed62@okhdfc,TXN0271936,249.00,,1296634.52
17/12/2022,ATM/WDL/232409354134/CANARA ATM MYSURU,TXN0271937,49.00,,1296585.52
17/12/2022,IMPS/P2P/336132694549/PADMA RAO/9661516640,TXN0271938,,24000.00,1320585.52
18/12/2022,ATM/WDL/7561090025/CANARA ATM MYSURU,TXN0271939,1250.00,,1319335.52
18/12/2022,UPI/DR/55369592/KIRAN REDDY/PUNB0368283/kiran417@okaxis,TXN0271940,5200.00,,1314135.52
18/12/2022,CHQ NO 522428 CLEARING,TXN0271941,449.00,,1313686.52
19/12/2022,NEFT/96744476/KAVYA REDDY/PUNB0368283/14419337558982,TXN0271942,310.00,,1313376.52
19/12/2022,CHQ NO 536533 CLEARING,TXN0271943,49.00,,1313327.52
19/12/2022,UPI/DR/599538275784/POOJA SHARMA/PUNB0368283/pooja401@ybl,TXN0271944,120.00,,1313207.52
20/12/2022,IMPS/P2P/032648595387/PADMA RAO/9329442709,TXN0271945,,500.00,1313707.52
20/12/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271946,,4800.00,1318507.52
20/12/2022,UPI/DR/82788562/LALITHA DEVI/PUNB0368283/lalitha971@paytm,TXN0271947,2380.00,,1316127.52
20/12/2022,IMPS/P2P/85888796/BABU LAL/7255850774,TXN0271948,,18500.00,1334627.52
20/12/2022,UPI/DR/782238908506/USHA RANI/PUNB0368283/usha340@ybl,TXN0271949,249.00,,1334378.52
20/12/2022,UPI/DR/68448916/CHANDAN SHARMA/PUNB0368283/chandan700@oksbi,TXN0271950,1680.00,,1332698.52
20/12/2022,ATM/WDL/39516345/HDFC ATM KORAMANGALA,TXN0271951,699.00,,1331999.52
21/12/2022,IMPS/P2P/855869843468/AYESHA KHAN/9879891684,TXN0271952,,2500.00,1334499.52
21/12/2022,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0271953,,7600.00,1342099.52
22/12/2022,UPI/DR/3587081689/GANESH KUMAR/PUNB0368283/ganesh619@oksbi,TXN0271954,5200.00,,1336899.52
22/12/2022,UPI/DR/96438973/RANJIT SINGH/PUNB0368283/ranjit988@oksbi,TXN0271955,310.00,,1336589.52
22/12/2022,NEFT/318681561293/SHEELA DEVI/PUNB0368283/57379711848583,TXN0271956,5200.00,,1331389.52
22/12/2022,UPI/DR/411665725498/ARCHANA PILLAI/PUNB0368283/archana101@okaxis,TXN0271957,850.00,,1330539.52
22/12/2022,IMPS/P2P/262060617055/SUSHMA RAO/7205530785,TXN0271958,,500.00,1331039.52
23/12/2022,NEFT/08000099/ANITHA KRISHNAN/PUNB0368283/54758605329509,TXN0271959,,18500.00,1349539.52
23/12/2022,ATM/WDL/029738331294/HDFC ATM KORAMANGALA,TXN0271960,2380.00,,1347159.52
23/12/2022,UPI/DR/71558499/ANITHA KRISHNAN/PUNB0368283/anitha824@ybl,TXN0271961,49.00,,1347110.52
24/12/2022,NEFT/6174102839/RAJENDRA PRASAD/PUNB0368283/66000614684720,TXN0271962,,850.00,1347960.52
24/12/2022,IMPS/P2P/975477035815/POOJA SHARMA/9349801669,TXN0271963,,1200.00,1349160.52
24/12/2022,UPI/DR/454894764000/RAHUL SINGH/PUNB0368283/rahul357@oksbi,TXN0271964,3499.00,,1345661.52
24/12/2022,ATM/WDL/0033461573/HDFC ATM KORAMANGALA,TXN0271965,49.00,,1345612.52
24/12/2022,UPI/CR/060298804507/IMRAN KHAN/PUNB0368283/imran765@oksbi,TXN0271966,,850.00,1346462.52
25/12/2022,ATM/WDL/2121164333/SBI ATM JAYANAGAR BLR,TXN0271967,49.00,,1346413.52
25/12/2022,UPI/CR/3487224729/KIRAN REDDY/PUNB0368283/kiran84@oksbi,TXN0271968,,4800.00,1351213.52
25/12/2022,UPI/DR/3034368041/ANAND KUMAR/PUNB0368283/anand246@ybl,TXN0271969,449.00,,1350764.52
26/12/2022,NEFT/2533375093/SUNITA DEVI/PUNB0368283/36963590097263,TXN0271970,999.00,,1349765.52
26/12/2022,UPI/DR/40983233/RAMESH PILLAI/PUNB0368283/ramesh296@okhdfc,TXN0271971,1680.00,,1348085.52
26/12/2022,UPI/CR/6572391668/GANESH KUMAR/PUNB0368283/ganesh668@okhdfc,TXN0271972,,4800.00,1352885.52
26/12/2022,NEFT/68007368/VIKRAM NAIR/PUNB0368283/83875651061318,TXN0271973,120.00,,1352765.52
27/12/2022,ATM/WDL/878923307749/CANARA ATM MYSURU,TXN0271974,120.00,,1352645.52
27/12/2022,UPI/CR/64832424/RAJENDRA PRASAD/PUNB0368283/rajendra153@okaxis,TXN0271975,,11200.00,1363845.52
28/12/2022,UPI/DR/12413179/NAVEEN KUMAR/PUNB0368283/naveen751@paytm,TXN0271976,7800.00,,1356045.52
28/12/2022,IMPS/P2P/9344443554/IMRAN KHAN/8212344038,TXN0271977,,24000.00,1380045.52
28/12/2022,IMPS/P2P/30480007/MEENA IYER/7952186767,TXN0271978,,500.00,1380545.52
28/12/2022,CHQ NO 500151 CLEARING,TXN0271979,1680.00,,1378865.52
28/12/2022,IMPS/P2P/81866749/MEENA IYER/7043028320,TXN0271980,,7600.00,1386465.52
28/12/2022,ATM/WDL/510647692936/CANARA ATM MYSURU,TXN0271981,449.00,,1386016.52
29/12/2022,NEFT/426872179742/MEERA PILLAI/PUNB0368283/95904163804470,TXN0271982,,1200.00,1387216.52
29/12/2022,UPI/DR/55491841/BABU LAL/PUNB0368283/babu976@ybl,TXN0271983,7800.00,,1379416.52
30/12/2022,CHQ NO 834695 CLEARING,TXN0271984,850.00,,1378566.52
30/12/2022,UPI/DR/18163148/RAMESH GOWDA/PUNB0368283/ramesh969@okaxis,TXN0271985,699.00,,1377867.52
31/12/2022,UPI/DR/36985432/DEEPA NAIR/PUNB0368283/deepa140@okaxis,TXN0271986,1250.00,,1376617.52
31/12/2022,IMPS/P2P/79299789/VIKRAM NAIR/7250528111,TXN0271987,,4800.00,1381417.52
01/01/2023,UPI/DR/773781064637/VENKAT RAO/PUNB0368283/venkat179@ybl,TXN0271988,999.00,,1380418.52
01/01/2023,NEFT/88991786/BABU LAL/PUNB0368283/31543683831754,TXN0271989,249.00,,1380169.52
02/01/2023,IMPS/P2P/094983623561/SUNITA DEVI/8312214799,TXN0271990,,18500.00,1398669.52
02/01/2023,UPI/DR/0896533274/TANVI RAO/PUNB0368283/tanvi746@ybl,TXN0271991,1680.00,,1396989.52
02/01/2023,NEFT/25097981/SURESH BABU/PUNB0368283/12019158299491,TXN0271992,,850.00,1397839.52
02/01/2023,NEFT/83790017/LAKSHMI VENKAT/PUNB0368283/06490963020641,TXN0271993,850.00,,1396989.52
02/01/2023,ATM/WDL/67459935/HDFC ATM KORAMANGALA,TXN0271994,5200.00,,1391789.52
03/01/2023,UPI/CR/998460553557/MOHAMMED IRFAN/PUNB0368283/mohammed253@okhdfc,TXN0271995,,11200.00,1402989.52
04/01/2023,ATM/WDL/0330496293/SBI ATM JAYANAGAR BLR,TXN0271996,2380.00,,1400609.52
05/01/2023,NEFT/28668687/MEENA IYER/PUNB0368283/05391630328462,TXN0271997,,24000.00,1424609.52
05/01/2023,UPI/DR/1088289817/KIRAN REDDY/PUNB0368283/kiran399@ybl,TXN0271998,1250.00,,1423359.52
05/01/2023,NEFT/8646575597/ARUN SHARMA/PUNB0368283/56873165048287,TXN0271999,5200.00,,1418159.52
06/01/2023,UPI/DR/50488962/KAVYA REDDY/PUNB0368283/kavya574@oksbi,TXN0272000,49.00,,1418110.52
06/01/2023,UPI/DR/856286844680/KAVERI MENON/PUNB0368283/kaveri910@okhdfc,TXN0272001,850.00,,1417260.52
06/01/2023,NEFT/4611496169/ADITYA KUMAR/PUNB0368283/33594585880186,TXN0272002,3499.00,,1413761.52
07/01/2023,UPI/DR/79969199/RAVI KUMAR SHARMA/PUNB0368283/ravi604@okaxis,TXN0272003,449.00,,1413312.52
08/01/2023,UPI/CR/949129130853/DEEPA NAIR/PUNB0368283/deepa382@okaxis,TXN0272004,,11200.00,1424512.52
08/01/2023,UPI/CR/15388928/FATIMA SHEIKH/PUNB0368283/fatima239@oksbi,TXN0272005,,32000.00,1456512.52
09/01/2023,NEFT/72839175/SURESH BABU/PUNB0368283/84851322848075,TXN0272006,,4800.00,1461312.52
09/01/2023,UPI/CR/953622758616/NILESH KULKARNI/PUNB0368283/nilesh987@paytm,TXN0272007,,4800.00,1466112.52
09/01/2023,ATM/WDL/52091060/HDFC ATM KORAMANGALA,TXN0272008,1250.00,,1464862.52
09/01/2023,IMPS/P2P/0252251577/FATIMA SHEIKH/7516110826,TXN0272009,,850.00,1465712.52
10/01/2023,IMPS/P2P/79875776/ANAND KUMAR/8413522394,TXN0272010,,4800.00,1470512.52
11/01/2023,CHQ NO 525348 CLEARING,TXN0272011,1250.00,,1469262.52
11/01/2023,IMPS/P2P/60036390/FARHAN KHAN/9759132049,TXN0272012,,1200.00,1470462.52
12/01/2023,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0272013,,4800.00,1475262.52
12/01/2023,UPI/DR/598566664471/ADITYA KUMAR/PUNB0368283/aditya22@ybl,TXN0272014,449.00,,1474813.52
13/01/2023,UPI/CR/49076488/GOPAL VERMA/PUNB0368283/gopal87@oksbi,TXN0272015,,4800.00,1479613.52
13/01/2023,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0272016,,11200.00,1490813.52
14/01/2023,UPI/CR/17735750/RAJENDRA PRASAD/PUNB0368283/rajendra697@okhdfc,TXN0272017,,500.00,1491313.52
14/01/2023,ATM/WDL/256810949061/CANARA ATM MYSURU,TXN0272018,850.00,,1490463.52
14/01/2023,UPI/CR/225736403516/ANITHA KRISHNAN/PUNB0368283/anitha664@paytm,TXN0272019,,4800.00,1495263.52
14/01/2023,IMPS/P2P/17603471/SANTOSH KUMAR/8101928395,TXN0272020,,32000.00,1527263.52
15/01/2023,NEFT/29439012/LALITHA DEVI/PUNB0368283/77631627203318,TXN0272021,,1200.00,1528463.52
15/01/2023,ATM/WDL/4789453836/SBI ATM JAYANAGAR BLR,TXN0272022,449.00,,1528014.52
15/01/2023,UPI/DR/6765160901/NILESH KULKARNI/PUNB0368283/nilesh126@paytm,TXN0272023,449.00,,1527565.52
15/01/2023,CHQ NO 966324 CLEARING,TXN0272024,5200.00,,1522365.52
16/01/2023,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0272025,,7600.00,1529965.52
16/01/2023,ATM/WDL/5926629398/HDFC ATM KORAMANGALA,TXN0272026,120.00,,1529845.52
16/01/2023,CASH DEPOSIT/BRANCH COUNTER/WHITEFIELD BENGALURU,TXN0272027,,18500.00,1548345.52
17/01/2023,UPI/DR/29954434/SNEHA PATIL/PUNB0368283/sneha844@paytm,TXN0272028,999.00,,1547346.52
19/01/2023,NEFT/9556085782/MEERA PILLAI/PUNB0368283/06231864358682,TXN0272029,,850.00,1548196.52
19/01/2023,NEFT/41462759/SURESH NAIR/PUNB0368283/43642888670296,TXN0272030,,32000.00,1580196.52
20/01/2023,NEFT/863380361605/SANJANA HEGDE/PUNB0368283/28812367874019,TXN0272031,,11200.00,1591396.52
20/01/2023,UPI/DR/805882336579/IMRAN KHAN/PUNB0368283/imran47@ybl,TXN0272032,3499.00,,1587897.52
20/01/2023,ATM/WDL/84089626/CANARA ATM MYSURU,TXN0272033,1250.00,,1586647.52
22/01/2023,ATM/WDL/4898980322/HDFC ATM KORAMANGALA,TXN0272034,249.00,,1586398.52
22/01/2023,UPI/DR/9849531696/HARISH MENON/PUNB0368283/harish246@okaxis,TXN0272035,120.00,,1586278.52
23/01/2023,NEFT/9484366382/SNEHA PATIL/PUNB0368283/27622696421551,TXN0272036,1250.00,,1585028.52
23/01/2023,ATM/WDL/5731390751/SBI ATM JAYANAGAR BLR,TXN0272037,3499.00,,1581529.52
23/01/2023,NEFT/0620650248/ROHIT SHARMA/PUNB0368283/43014705530084,TXN0272038,,32000.00,1613529.52
24/01/2023,UPI/DR/2280763671/FARHAN KHAN/PUNB0368283/farhan65@okhdfc,TXN0272039,3499.00,,1610030.52
24/01/2023,UPI/DR/3923650831/VENKAT RAO/PUNB0368283/venkat127@okhdfc,TXN0272040,699.00,,1609331.52
