Value Date,Transaction Date,Description,Withdrawal Amt (INR Dr),Deposit Amt (INR Cr),Closing Balance
09/11/2022,09/11/2022,IMPS/P2P/070619881049/PRIYA NAIR/7499298039,,850.00,1676872.21
10/11/2022,10/11/2022,UPI/DR/0024572830/SUNIL YADAV/HDFC0722665/sunil773@oksbi,999.00,,1675873.21
10/11/2022,10/11/2022,CHQ NO 947677 CLEARING,49.00,,1675824.21
11/11/2022,11/11/2022,NEFT/02361548/KAVERI MENON/HDFC0722665/03440445752755,,24000.00,1699824.21
12/11/2022,11/11/2022,NEFT/2681684345/CHANDAN SHARMA/HDFC0722665/93510330636546,,4800.00,1704624.21
11/11/2022,11/11/2022,NEFT/39715141/SURESH BABU/HDFC0722665/76316315862312,5200.00,,1699424.21
12/11/2022,11/11/2022,UPI/CR/707168788396/DEEPAK JOSHI/HDFC0722665/deepak367@paytm,,11200.00,1710624.21
11/11/2022,11/11/2022,UPI/DR/6613291244/RESHMA KHAN/HDFC0722665/reshma384@ybl,850.00,,1709774.21
11/11/2022,11/11/2022,NEFT/2501522814/PREETHI IYER/HDFC0722665/55211066471811,,11200.00,1720974.21
12/11/2022,12/11/2022,UPI/DR/3930502513/PRAKASH RAO/HDFC0722665/prakash31@ybl,7800.00,,1713174.21
12/11/2022,12/11/2022,UPI/CR/100035245856/DEEPA NAIR/HDFC0722665/deepa92@paytm,,500.00,1713674.21
13/11/2022,12/11/2022,UPI/DR/785752437193/SANTOSH KUMAR/HDFC0722665/santosh311@oksbi,3499.00,,1710175.21
13/11/2022,12/11/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,500.00,1710675.21
12/11/2022,12/11/2022,UPI/DR/4999321106/IMRAN KHAN/HDFC0722665/imran17@oksbi,999.00,,1709676.21
12/11/2022,12/11/2022,UPI/DR/99277981/ARCHANA PILLAI/HDFC0722665/archana550@okhdfc,999.00,,1708677.21
12/11/2022,12/11/2022,UPI/DR/582998806119/RAMESH GOWDA/HDFC0722665/ramesh556@okhdfc,7800.00,,1700877.21
12/11/2022,12/11/2022,ATM/WDL/27236745/HDFC ATM KORAMANGALA,120.00,,1700757.21
13/11/2022,13/11/2022,UPI/DR/3780486510/TARA SINGH/HDFC0722665/tara747@oksbi,2380.00,,1698377.21
13/11/2022,13/11/2022,UPI/DR/96679851/PRAKASH RAO/HDFC0722665/prakash827@oksbi,3499.00,,1694878.21
14/11/2022,14/11/2022,CHQ NO 033835 CLEARING,120.00,,1694758.21
14/11/2022,14/11/2022,UPI/CR/4148205040/SHAHID KHAN/HDFC0722665/shahid552@ybl,,1200.00,1695958.21
14/11/2022,14/11/2022,UPI/DR/88958044/DEEPA NAIR/HDFC0722665/deepa229@okaxis,1680.00,,1694278.21
14/11/2022,14/11/2022,NEFT/6511333346/RAMESH GOWDA/HDFC0722665/62735798781564,249.00,,1694029.21
14/11/2022,14/11/2022,CHQ NO 073996 CLEARING,1680.00,,1692349.21
14/11/2022,14/11/2022,NEFT/933838802636/ROHIT SHARMA/HDFC0722665/80888985271919,,11200.00,1703549.21
15/11/2022,14/11/2022,UPI/DR/3127340249/IMRAN KHAN/HDFC0722665/imran160@paytm,79.00,,1703470.21
15/11/2022,15/11/2022,UPI/CR/009031025872/RANJIT SINGH/HDFC0722665/ranjit293@okhdfc,,18500.00,1721970.21
15/11/2022,15/11/2022,UPI/CR/65023400/PRIYA NAIR/HDFC0722665/priya749@paytm,,4800.00,1726770.21
16/11/2022,16/11/2022,CHQ NO 707749 CLEARING,310.00,,1726460.21
17/11/2022,16/11/2022,IMPS/P2P/006938854250/ADITYA KUMAR/9270765585,,500.00,1726960.21
16/11/2022,16/11/2022,CHQ NO 617414 CLEARING,5200.00,,1721760.21
17/11/2022,16/11/2022,ATM/WDL/6855897807/SBI ATM JAYANAGAR BLR,5200.00,,1716560.21
16/11/2022,16/11/2022,NEFT/287003174377/AYESHA KHAN/HDFC0722665/12986559012850,310.00,,1716250.21
16/11/2022,16/11/2022,UPI/CR/15498609/NIKHIL GUPTA/HDFC0722665/nikhil314@okhdfc,,7600.00,1723850.21
16/11/2022,16/11/2022,IMPS/P2P/63431059/KAVITHA RAO/8110943505,,2500.00,1726350.21
17/11/2022,17/11/2022,UPI/DR/29772961/USHA RANI/HDFC0722665/usha196@oksbi,999.00,,1725351.21
18/11/2022,17/11/2022,NEFT/3361296049/MEENA IYER/HDFC0722665/22294382477888,2380.00,,1722971.21
18/11/2022,17/11/2022,NEFT/292811458303/KAVERI MENON/HDFC0722665/87112989256995,2380.00,,1720591.21
17/11/2022,17/11/2022,UPI/DR/9453610354/KAVYA REDDY/HDFC0722665/kavya423@okaxis,310.00,,1720281.21
18/11/2022,18/11/2022,NEFT/51956967/RESHMA KHAN/HDFC0722665/23587854205261,79.00,,1720202.21
18/11/2022,18/11/2022,UPI/DR/855581006412/RAVI KUMAR SHARMA/HDFC0722665/ravi622@oksbi,3499.00,,1716703.21
18/11/2022,18/11/2022,IMPS/P2P/1651266717/NAVEEN KUMAR/7414569289,,32000.00,1748703.21
18/11/2022,18/11/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,18500.00,1767203.21
18/11/2022,18/11/2022,NEFT/315787658092/TANVI RAO/HDFC0722665/95937540163256,,32000.00,1799203.21
19/11/2022,18/11/2022,UPI/CR/26412879/BABU LAL/HDFC0722665/babu458@ybl,,32000.00,1831203.21
19/11/2022,19/11/2022,NEFT/06709869/SUSHMA RAO/HDFC0722665/01929387745474,120.00,,1831083.21
19/11/2022,19/11/2022,UPI/DR/584223379623/RAMESH GOWDA/HDFC0722665/ramesh553@ybl,120.00,,1830963.21
20/11/2022,19/11/2022,UPI/DR/2043530036/SUNITA DEVI/HDFC0722665/sunita524@oksbi,120.00,,1830843.21
20/11/2022,19/11/2022,CHQ NO 898574 CLEARING,850.00,,1829993.21
20/11/2022,20/11/2022,UPI/DR/64680907/MOHAN DAS/HDFC0722665/mohan863@okaxis,1680.00,,1828313.21
20/11/2022,20/11/2022,IMPS/P2P/8055218788/HARISH MENON/7812826523,,2500.00,1830813.21
21/11/2022,20/11/2022,IMPS/P2P/8837119883/ADITYA KUMAR/9432428167,,24000.00,1854813.21
20/11/2022,20/11/2022,UPI/CR/1802261990/SMITHA PILLAI/HDFC0722665/smitha751@okaxis,,7600.00,1862413.21
20/11/2022,20/11/2022,IMPS/P2P/74877720/SURESH NAIR/8516844567,,11200.00,1873613.21
21/11/2022,21/11/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,4800.00,1878413.21
21/11/2022,21/11/2022,IMPS/P2P/46102997/DIVYA MENON/7572706719,,7600.00,1886013.21
21/11/2022,21/11/2022,UPI/DR/60757245/PRIYA NAIR/HDFC0722665/priya721@oksbi,7800.00,,1878213.21
22/11/2022,22/11/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,850.00,1879063.21
22/11/2022,22/11/2022,IMPS/P2P/571512263771/BABU LAL/9491777479,,18500.00,1897563.21
23/11/2022,22/11/2022,ATM/WDL/5518337939/HDFC ATM KORAMANGALA,449.00,,1897114.21
22/11/2022,22/11/2022,CHQ NO 240334 CLEARING,850.00,,1896264.21
22/11/2022,22/11/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,500.00,1896764.21
23/11/2022,23/11/2022,NEFT/210445568895/TARA SINGH/HDFC0722665/93902263236581,5200.00,,1891564.21
24/11/2022,23/11/2022,NEFT/73696052/FATIMA SHEIKH/HDFC0722665/82954847332201,,11200.00,1902764.21
23/11/2022,23/11/2022,UPI/DR/1735350605/FARHAN KHAN/HDFC0722665/farhan739@paytm,249.00,,1902515.21
24/11/2022,23/11/2022,UPI/DR/5445092780/ANITHA KRISHNAN/HDFC0722665/anitha555@paytm,2380.00,,1900135.21
23/11/2022,23/11/2022,UPI/DR/37036904/REKHA PILLAI/HDFC0722665/rekha510@okaxis,999.00,,1899136.21
23/11/2022,23/11/2022,NEFT/3678975716/RAJESH VERMA/HDFC0722665/92772752337776,310.00,,1898826.21
24/11/2022,23/11/2022,ATM/WDL/5708761238/CANARA ATM MYSURU,5200.00,,1893626.21
23/11/2022,23/11/2022,UPI/DR/5264728957/DEEPA NAIR/HDFC0722665/deepa944@okaxis,3499.00,,1890127.21
23/11/2022,23/11/2022,ATM/WDL/3088127669/HDFC ATM KORAMANGALA,999.00,,1889128.21
23/11/2022,23/11/2022,UPI/CR/5605475347/SHEELA DEVI/HDFC0722665/sheela285@paytm,,500.00,1889628.21
24/11/2022,24/11/2022,NEFT/7034336282/CHANDAN SHARMA/HDFC0722665/20163442082069,2380.00,,1887248.21
24/11/2022,24/11/2022,CHQ NO 439493 CLEARING,3499.00,,1883749.21
24/11/2022,24/11/2022,UPI/CR/4406084113/MEENA IYER/HDFC0722665/meena439@ybl,,24000.00,1907749.21
25/11/2022,24/11/2022,UPI/CR/10994031/CHANDAN SHARMA/HDFC0722665/chandan971@okhdfc,,2500.00,1910249.21
25/11/2022,24/11/2022,ATM/WDL/467862448075/HDFC ATM KORAMANGALA,5200.00,,1905049.21
24/11/2022,24/11/2022,UPI/CR/487825669895/PREETHI IYER/HDFC0722665/preethi463@oksbi,,2500.00,1907549.21
26/11/2022,25/11/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,7600.00,1915149.21
26/11/2022,25/11/2022,UPI/DR/5671003625/ANAND KUMAR/HDFC0722665/anand146@ybl,999.00,,1914150.21
25/11/2022,25/11/2022,UPI/DR/812807707026/NAVEEN KUMAR/HDFC0722665/naveen725@ybl,49.00,,1914101.21
25/11/2022,25/11/2022,NEFT/9092386065/DIVYA MENON/HDFC0722665/88026593972946,,2500.00,1916601.21
25/11/2022,25/11/2022,IMPS/P2P/46638013/SHEELA DEVI/8247029236,,1200.00,1917801.21
25/11/2022,25/11/2022,UPI/DR/783359912083/IMRAN KHAN/HDFC0722665/imran717@okhdfc,1680.00,,1916121.21
27/11/2022,26/11/2022,UPI/CR/10185850/MEENA IYER/HDFC0722665/meena727@oksbi,,850.00,1916971.21
27/11/2022,26/11/2022,CHQ NO 103662 CLEARING,7800.00,,1909171.21
26/11/2022,26/11/2022,ATM/WDL/7344247208/SBI ATM JAYANAGAR BLR,7800.00,,1901371.21
27/11/2022,26/11/2022,UPI/DR/93665088/PRIYA NAIR/HDFC0722665/priya428@oksbi,120.00,,1901251.21
26/11/2022,26/11/2022,NEFT/538340167132/SANTOSH KUMAR/HDFC0722665/41669163212111,120.00,,1901131.21
26/11/2022,26/11/2022,UPI/DR/678230012236/DIVYA MENON/HDFC0722665/divya332@okhdfc,49.00,,1901082.21
26/11/2022,26/11/2022,CHQ NO 874461 CLEARING,7800.00,,1893282.21
26/11/2022,26/11/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,4800.00,1898082.21
27/11/2022,26/11/2022,CHQ NO 273023 CLEARING,850.00,,1897232.21
26/11/2022,26/11/2022,ATM/WDL/11041584/HDFC ATM KORAMANGALA,49.00,,1897183.21
27/11/2022,27/11/2022,UPI/DR/4593922541/DIVYA MENON/HDFC0722665/divya726@ybl,1250.00,,1895933.21
28/11/2022,27/11/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,7600.00,1903533.21
27/11/2022,27/11/2022,NEFT/77554775/ANITHA KRISHNAN/HDFC0722665/45372537688976,,7600.00,1911133.21
27/11/2022,27/11/2022,IMPS/P2P/568552631293/LATHA MURTHY/7144754776,,850.00,1911983.21
27/11/2022,27/11/2022,NEFT/0849914691/RAJESH VERMA/HDFC0722665/81142389507170,,11200.00,1923183.21
27/11/2022,27/11/2022,UPI/CR/625969274684/MEERA PILLAI/HDFC0722665/meera181@okaxis,,24000.00,1947183.21
27/11/2022,27/11/2022,UPI/DR/1300296593/ARCHANA PILLAI/HDFC0722665/archana770@okhdfc,7800.00,,1939383.21
28/11/2022,28/11/2022,IMPS/P2P/4709917393/SHEELA DEVI/7204632230,,1200.00,1940583.21
29/11/2022,28/11/2022,NEFT/239614808176/SHEELA DEVI/HDFC0722665/95357491560951,999.00,,1939584.21
28/11/2022,28/11/2022,NEFT/429037646093/BINDHU NAIR/HDFC0722665/64245971068524,1250.00,,1938334.21
29/11/2022,28/11/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,4800.00,1943134.21
30/11/2022,29/11/2022,NEFT/6223225355/RAVI KUMAR SHARMA/HDFC0722665/05318265329572,1680.00,,1941454.21
29/11/2022,29/11/2022,IMPS/P2P/598588808015/LALITHA DEVI/9507667600,,18500.00,1959954.21
30/11/2022,29/11/2022,IMPS/P2P/265947859828/DEEPAK JOSHI/9418235435,,11200.00,1971154.21
29/11/2022,29/11/2022,IMPS/P2P/4318199176/KARTHIK MENON/9599651551,,18500.00,1989654.21
29/11/2022,29/11/2022,UPI/DR/0345683477/DIVYA MENON/HDFC0722665/divya504@oksbi,999.00,,1988655.21
30/11/2022,30/11/2022,NEFT/605293745747/FATIMA SHEIKH/HDFC0722665/61221679915695,,18500.00,2007155.21
30/11/2022,30/11/2022,UPI/DR/26787837/GANESH KUMAR/HDFC0722665/ganesh511@ybl,310.00,,2006845.21
30/11/2022,30/11/2022,ATM/WDL/2752181691/SBI ATM JAYANAGAR BLR,999.00,,2005846.21
30/11/2022,30/11/2022,ATM/WDL/62953180/HDFC ATM KORAMANGALA,850.00,,2004996.21
30/11/2022,30/11/2022,UPI/DR/356767858132/DEEPAK JOSHI/HDFC0722665/deepak213@ybl,5200.00,,1999796.21
30/11/2022,30/11/2022,UPI/DR/2684600529/ANITHA KRISHNAN/HDFC0722665/anitha166@paytm,5200.00,,1994596.21
01/12/2022,01/12/2022,UPI/CR/6564183028/KARTHIK MENON/HDFC0722665/karthik82@oksbi,,1200.00,1995796.21
01/12/2022,01/12/2022,NEFT/2195700580/FARHAN KHAN/HDFC0722665/14673987713948,249.00,,1995547.21
01/12/2022,01/12/2022,NEFT/18100378/MEENA IYER/HDFC0722665/10247692963916,1250.00,,1994297.21
01/12/2022,01/12/2022,UPI/DR/43556657/REKHA PILLAI/HDFC0722665/rekha975@okhdfc,1250.00,,1993047.21
01/12/2022,01/12/2022,ATM/WDL/8644086501/SBI ATM JAYANAGAR BLR,1680.00,,1991367.21
01/12/2022,01/12/2022,IMPS/P2P/56966808/SAVITHA DEVI/8472287223,,11200.00,2002567.21
01/12/2022,01/12/2022,UPI/DR/05900901/NILESH KULKARNI/HDFC0722665/nilesh379@paytm,79.00,,2002488.21
01/12/2022,01/12/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,24000.00,2026488.21
02/12/2022,01/12/2022,NEFT/04569767/LATHA MURTHY/HDFC0722665/82614825608100,,500.00,2026988.21
01/12/2022,01/12/2022,UPI/DR/490785061054/FARHAN KHAN/HDFC0722665/farhan411@okhdfc,1680.00,,2025308.21
03/12/2022,03/12/2022,CHQ NO 617625 CLEARING,310.00,,2024998.21
04/12/2022,03/12/2022,UPI/DR/3907745366/MEENA IYER/HDFC0722665/meena444@okaxis,999.00,,2023999.21
03/12/2022,03/12/2022,UPI/CR/6832949829/NIKHIL GUPTA/HDFC0722665/nikhil987@ybl,,32000.00,2055999.21
04/12/2022,04/12/2022,UPI/DR/4410432706/CHANDAN SHARMA/HDFC0722665/chandan724@okhdfc,1250.00,,2054749.21
04/12/2022,04/12/2022,CHQ NO 312985 CLEARING,699.00,,2054050.21
04/12/2022,04/12/2022,CHQ NO 060847 CLEARING,1250.00,,2052800.21
04/12/2022,04/12/2022,UPI/DR/98851314/SHEELA DEVI/HDFC0722665/sheela910@paytm,850.00,,2051950.21
04/12/2022,04/12/2022,UPI/CR/074268067856/PREETHI IYER/HDFC0722665/preethi376@okaxis,,18500.00,2070450.21
04/12/2022,04/12/2022,NEFT/8189118700/NAVEEN KUMAR/HDFC0722665/07646494905100,,11200.00,2081650.21
04/12/2022,04/12/2022,NEFT/904502744255/FARHAN KHAN/HDFC0722665/02825579001028,5200.00,,2076450.21
06/12/2022,05/12/2022,CHQ NO 730794 CLEARING,1680.00,,2074770.21
06/12/2022,05/12/2022,IMPS/P2P/2953387954/KAVERI MENON/8277264816,,850.00,2075620.21
05/12/2022,05/12/2022,NEFT/6838052948/RAJENDRA PRASAD/HDFC0722665/28143088375166,1250.00,,2074370.21
05/12/2022,05/12/2022,NEFT/2784570245/SMITHA PILLAI/HDFC0722665/86266433477984,449.00,,2073921.21
05/12/2022,05/12/2022,CHQ NO 648492 CLEARING,850.00,,2073071.21
07/12/2022,06/12/2022,UPI/DR/6644389616/PREETHI IYER/HDFC0722665/preethi207@okhdfc,1250.00,,2071821.21
06/12/2022,06/12/2022,IMPS/P2P/05164739/TANVI RAO/8650911205,,7600.00,2079421.21
06/12/2022,06/12/2022,UPI/DR/490330446851/KARTHIK MENON/HDFC0722665/karthik467@oksbi,120.00,,2079301.21
06/12/2022,06/12/2022,CHQ NO 234795 CLEARING,7800.00,,2071501.21
07/12/2022,07/12/2022,CHQ NO 239032 CLEARING,3499.00,,2068002.21
08/12/2022,07/12/2022,UPI/CR/484899377184/MOHAMMED IRFAN/HDFC0722665/mohammed378@okaxis,,850.00,2068852.21
07/12/2022,07/12/2022,UPI/CR/9147760616/PADMA RAO/HDFC0722665/padma851@okhdfc,,18500.00,2087352.21
07/12/2022,07/12/2022,CHQ NO 372917 CLEARING,999.00,,2086353.21
07/12/2022,07/12/2022,CHQ NO 591186 CLEARING,999.00,,2085354.21
08/12/2022,07/12/2022,UPI/DR/53408648/GOPAL VERMA/HDFC0722665/gopal96@ybl,999.00,,2084355.21
07/12/2022,07/12/2022,CHQ NO 978974 CLEARING,2380.00,,2081975.21
09/12/2022,08/12/2022,UPI/DR/8206739309/BINDHU NAIR/HDFC0722665/bindhu690@oksbi,3499.00,,2078476.21
08/12/2022,08/12/2022,IMPS/P2P/546621356942/NILESH KULKARNI/9662191285,,24000.00,2102476.21
08/12/2022,08/12/2022,ATM/WDL/75729276/CANARA ATM MYSURU,49.00,,2102427.21
08/12/2022,08/12/2022,UPI/DR/41977990/DEEPAK JOSHI/HDFC0722665/deepak484@ybl,3499.00,,2098928.21
08/12/2022,08/12/2022,UPI/DR/926387699655/RAHUL SINGH/HDFC0722665/rahul76@paytm,5200.00,,2093728.21
08/12/2022,08/12/2022,NEFT/2303745344/KARTHIK MENON/HDFC0722665/70205280855443,,32000.00,2125728.21
09/12/2022,08/12/2022,UPI/DR/3722223319/KAVITHA RAO/HDFC0722665/kavitha713@paytm,249.00,,2125479.21
10/12/2022,09/12/2022,IMPS/P2P/24951482/FARHAN KHAN/9440619907,,500.00,2125979.21
09/12/2022,09/12/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,1200.00,2127179.21
10/12/2022,09/12/2022,UPI/DR/7574046305/ARUN SHARMA/HDFC0722665/arun577@okhdfc,850.00,,2126329.21
10/12/2022,09/12/2022,UPI/CR/13903516/RAHUL SINGH/HDFC0722665/rahul872@ybl,,4800.00,2131129.21
09/12/2022,09/12/2022,ATM/WDL/91904472/SBI ATM JAYANAGAR BLR,699.00,,2130430.21
09/12/2022,09/12/2022,NEFT/591469312396/USHA RANI/HDFC0722665/84572623725107,,11200.00,2141630.21
09/12/2022,09/12/2022,UPI/CR/85144436/RAHUL SINGH/HDFC0722665/rahul659@okaxis,,24000.00,2165630.21
10/12/2022,10/12/2022,UPI/DR/39803171/RAVI KUMAR SHARMA/HDFC0722665/ravi413@ybl,999.00,,2164631.21
10/12/2022,10/12/2022,IMPS/P2P/121070049313/RANJIT SINGH/9641718628,,850.00,2165481.21
10/12/2022,10/12/2022,UPI/DR/36854053/SANJANA HEGDE/HDFC0722665/sanjana834@okaxis,1680.00,,2163801.21
12/12/2022,11/12/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,18500.00,2182301.21
11/12/2022,11/12/2022,IMPS/P2P/781425003737/VIKRAM NAIR/7155965860,,2500.00,2184801.21
12/12/2022,11/12/2022,NEFT/023924632380/AYESHA KHAN/HDFC0722665/04569778773641,,2500.00,2187301.21
11/12/2022,11/12/2022,UPI/DR/508711019484/CHANDAN SHARMA/HDFC0722665/chandan454@oksbi,699.00,,2186602.21
11/12/2022,11/12/2022,IMPS/P2P/04969182/NAVEEN KUMAR/8777082261,,18500.00,2205102.21
12/12/2022,12/12/2022,UPI/CR/9382353444/PREETHI IYER/HDFC0722665/preethi297@paytm,,7600.00,2212702.21
13/12/2022,12/12/2022,NEFT/044650579717/FARHAN KHAN/HDFC0722665/35425886619321,5200.00,,2207502.21
13/12/2022,12/12/2022,IMPS/P2P/55118136/SURESH BABU/9506925145,,500.00,2208002.21
12/12/2022,12/12/2022,CHQ NO 489787 CLEARING,999.00,,2207003.21
12/12/2022,12/12/2022,NEFT/11458074/FATIMA SHEIKH/HDFC0722665/50547559127525,,850.00,2207853.21
13/12/2022,13/12/2022,ATM/WDL/363182649858/CANARA ATM MYSURU,49.00,,2207804.21
13/12/2022,13/12/2022,CHQ NO 710194 CLEARING,1250.00,,2206554.21
13/12/2022,13/12/2022,IMPS/P2P/659818577419/ROHIT SHARMA/7443355824,,7600.00,2214154.21
14/12/2022,13/12/2022,ATM/WDL/64021402/CANARA ATM MYSURU,249.00,,2213905.21
13/12/2022,13/12/2022,NEFT/44683941/SANTOSH KUMAR/HDFC0722665/06327444964931,,32000.00,2245905.21
14/12/2022,13/12/2022,UPI/DR/18265449/VIKRAM NAIR/HDFC0722665/vikram212@okaxis,449.00,,2245456.21
13/12/2022,13/12/2022,CHQ NO 070392 CLEARING,850.00,,2244606.21
15/12/2022,14/12/2022,UPI/CR/8673333012/RAVI KUMAR SHARMA/HDFC0722665/ravi179@ybl,,32000.00,2276606.21
14/12/2022,14/12/2022,ATM/WDL/2337938102/SBI ATM JAYANAGAR BLR,120.00,,2276486.21
14/12/2022,14/12/2022,ATM/WDL/578714426045/CANARA ATM MYSURU,699.00,,2275787.21
14/12/2022,14/12/2022,UPI/CR/3581028774/PRIYA NAIR/HDFC0722665/priya337@paytm,,7600.00,2283387.21
15/12/2022,15/12/2022,CHQ NO 986233 CLEARING,49.00,,2283338.21
15/12/2022,15/12/2022,CHQ NO 041680 CLEARING,7800.00,,2275538.21
15/12/2022,15/12/2022,UPI/DR/887644729915/MALLIKA DAS/HDFC0722665/mallika227@ybl,850.00,,2274688.21
15/12/2022,15/12/2022,IMPS/P2P/094211860156/BINDHU NAIR/8536270870,,24000.00,2298688.21
15/12/2022,15/12/2022,NEFT/187410177340/ANAND KUMAR/HDFC0722665/78249760328739,5200.00,,2293488.21
15/12/2022,15/12/2022,UPI/DR/6646040181/ADITYA KUMAR/HDFC0722665/aditya932@okaxis,5200.00,,2288288.21
15/12/2022,15/12/2022,UPI/DR/0351524387/TANVI RAO/HDFC0722665/tanvi491@okaxis,449.00,,2287839.21
16/12/2022,16/12/2022,CHQ NO 551681 CLEARING,7800.00,,2280039.21
16/12/2022,16/12/2022,NEFT/926724208392/KAVITHA RAO/HDFC0722665/35892969914591,850.00,,2279189.21
17/12/2022,16/12/2022,UPI/DR/3996525578/GOPAL VERMA/HDFC0722665/gopal116@okhdfc,3499.00,,2275690.21
16/12/2022,16/12/2022,NEFT/920762605763/ROHIT SHARMA/HDFC0722665/17659326415742,,7600.00,2283290.21
17/12/2022,17/12/2022,UPI/DR/16590284/BABU LAL/HDFC0722665/babu654@paytm,249.00,,2283041.21
17/12/2022,17/12/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,850.00,2283891.21
17/12/2022,17/12/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,24000.00,2307891.21
17/12/2022,17/12/2022,UPI/DR/2508698325/SHEELA DEVI/HDFC0722665/sheela403@okaxis,249.00,,2307642.21
18/12/2022,18/12/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,4800.00,2312442.21
18/12/2022,18/12/2022,CHQ NO 008003 CLEARING,850.00,,2311592.21
18/12/2022,18/12/2022,NEFT/64049738/ADITYA KUMAR/HDFC0722665/77192137734940,3499.00,,2308093.21
19/12/2022,18/12/2022,UPI/DR/2050117456/PADMA RAO/HDFC0722665/padma442@oksbi,120.00,,2307973.21
18/12/2022,18/12/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,850.00,2308823.21
18/12/2022,18/12/2022,UPI/DR/781118728097/CHANDAN SHARMA/HDFC0722665/chandan276@paytm,850.00,,2307973.21
19/12/2022,18/12/2022,UPI/DR/27907893/PREETHI IYER/HDFC0722665/preethi445@paytm,699.00,,2307274.21
19/12/2022,19/12/2022,UPI/CR/48892077/BABU LAL/HDFC0722665/babu748@paytm,,500.00,2307774.21
19/12/2022,19/12/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,4800.00,2312574.21
19/12/2022,19/12/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,2500.00,2315074.21
19/12/2022,19/12/2022,UPI/DR/3475916784/RAMESH PILLAI/HDFC0722665/ramesh511@ybl,79.00,,2314995.21
19/12/2022,19/12/2022,NEFT/5018933857/KAVYA REDDY/HDFC0722665/03333438401562,,1200.00,2316195.21
19/12/2022,19/12/2022,NEFT/87220258/HARISH MENON/HDFC0722665/30283541507297,,4800.00,2320995.21
19/12/2022,19/12/2022,ATM/WDL/893716904442/HDFC ATM KORAMANGALA,449.00,,2320546.21
20/12/2022,20/12/2022,UPI/DR/8831539081/ARCHANA PILLAI/HDFC0722665/archana796@okhdfc,1680.00,,2318866.21
20/12/2022,20/12/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,2500.00,2321366.21
20/12/2022,20/12/2022,CHQ NO 100961 CLEARING,1680.00,,2319686.21
20/12/2022,20/12/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,1200.00,2320886.21
20/12/2022,20/12/2022,IMPS/P2P/945400337589/NIKHIL GUPTA/8984461347,,7600.00,2328486.21
22/12/2022,21/12/2022,UPI/DR/384514698598/GEETA DEVI/HDFC0722665/geeta977@okaxis,310.00,,2328176.21
21/12/2022,21/12/2022,CHQ NO 901768 CLEARING,699.00,,2327477.21
21/12/2022,21/12/2022,NEFT/036240942511/DEEPAK JOSHI/HDFC0722665/30360319160751,999.00,,2326478.21
22/12/2022,22/12/2022,IMPS/P2P/93444476/NILESH KULKARNI/9497990755,,7600.00,2334078.21
22/12/2022,22/12/2022,CHQ NO 282902 CLEARING,999.00,,2333079.21
22/12/2022,22/12/2022,CHQ NO 293218 CLEARING,49.00,,2333030.21
22/12/2022,22/12/2022,CHQ NO 063956 CLEARING,699.00,,2332331.21
22/12/2022,22/12/2022,NEFT/62192030/RAVI KUMAR SHARMA/HDFC0722665/18101879330419,,32000.00,2364331.21
22/12/2022,22/12/2022,ATM/WDL/88101727/CANARA ATM MYSURU,1680.00,,2362651.21
23/12/2022,23/12/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,2500.00,2365151.21
24/12/2022,23/12/2022,UPI/DR/4827854095/RANJIT SINGH/HDFC0722665/ranjit64@okaxis,1680.00,,2363471.21
24/12/2022,23/12/2022,IMPS/P2P/92041346/DIVYA MENON/8270509432,,4800.00,2368271.21
23/12/2022,23/12/2022,UPI/DR/241391995251/RAVI KUMAR SHARMA/HDFC0722665/ravi928@oksbi,999.00,,2367272.21
